,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
CORNELL,CORNELL,0.625,0.4732142857142857,5,3,0.08199999999999999,0.07321428571428572,0.725,0.554,1.6125,0.47,0.7571428571428571,0.261,0.42142857142857143,0.691,0.2910714285714286,0.181,0,6,5,111.0,0.31,0.2839285714285714,0.517,0.3535714285714286,0.10400000000000001,0.09107142857142857,0.6321428571428571,0.497,1.6071428571428572,0.426,0.6839285714285714,0.246,0.39464285714285713,0.683,0.26964285714285713,0.168,0.268,0.26607142857142857,0.4303571428571429,1.8678571428571429,0.08900000000000001,0.16607142857142856,0.442,0.7107142857142857,0.324,0.23035714285714284,0.8964285714285715,0.506,0.45357142857142857,0.47100000000000003,0.8982142857142857,0.52,0.16,0.34285714285714286,74.9,0.425,2.0767857142857142,-2.89,0.096,0.18035714285714285,-2.89,0.458,0.7392857142857143,0.367,0.2714285714285714,0.8732142857142857,0.556,0.4857142857142857,0.529,1.0089285714285714,0.573,0.159,0.34285714285714286,0.643,9
CREIGHTON,CREIGHTON,0.52,0.34210526315789475,1,2,0.12300000000000001,0.12280701754385964,0.7,0.525,1.4035087719298245,0.469,0.6578947368421053,0.264,0.3701754385964912,0.692,0.256140350877193,0.183,2,5,4,102.8,0.304,0.25087719298245614,0.47600000000000003,0.2894736842105263,0.08199999999999999,0.07192982456140351,0.5754385964912281,0.453,1.5403508771929824,0.395,0.6087719298245614,0.187,0.28771929824561404,0.768,0.22105263157894736,0.144,0.275,0.2649122807017544,0.38596491228070173,1.6175438596491227,0.09300000000000001,0.156140350877193,0.351,0.5403508771929825,0.331,0.17894736842105263,1.0,0.43,0.4298245614035088,0.469,0.8403508771929824,0.482,0.14,0.2736842105263158,67.3,0.3298245614035088,1.7298245614035088,8.92,0.08900000000000001,0.14912280701754385,4.35,0.374,0.5245614035087719,0.301,0.15789473684210525,0.8789473684210526,0.569,0.5,0.531,0.9508771929824561,0.548,0.182,0.3508771929824561,0.714,10
DARTMOUTH,DARTMOUTH,0.47100000000000003,0.28598130841121494,7,2,0.099,0.08598130841121496,0.6205607476635514,0.5,1.4542056074766354,0.418,0.6074766355140186,0.185,0.2691588785046729,0.75,0.20186915887850468,0.139,2,2,9,99.6,0.214,0.18317757009345795,0.441,0.27476635514018694,0.073,0.05794392523364486,0.6728971962616822,0.511,1.3962616822429907,0.446,0.6224299065420561,0.27,0.3775700934579439,0.688,0.25981308411214954,0.186,0.275,0.23551401869158878,0.3383177570093458,1.685981308411215,0.083,0.1383177570093458,0.379,0.5289719626168224,0.343,0.18130841121495328,0.8672897196261682,0.509,0.4411214953271028,0.531,0.908411214953271,0.535,0.162,0.30467289719626167,66.6,0.40186915887850466,1.6560747663551403,-5.22,0.092,0.15327102803738318,-0.55,0.456,0.6635514018691588,0.361,0.23925233644859814,0.7906542056074767,0.466,0.36822429906542054,0.469,0.8037383177570093,0.523,0.152,0.2841121495327103,0.308,4
DAVIDSON,DAVIDSON,0.569,0.4116666666666667,1,3,0.084,0.06333333333333334,0.6716666666666666,0.584,1.45,0.499,0.7233333333333334,0.238,0.345,0.758,0.26166666666666666,0.18,0,7,2,116.1,0.223,0.17,0.519,0.3016666666666667,0.068,0.058333333333333334,0.5916666666666667,0.498,1.385,0.42,0.5816666666666667,0.264,0.365,0.717,0.26166666666666666,0.189,0.221,0.19,0.39,1.6416666666666666,0.07200000000000001,0.12166666666666667,0.454,0.6283333333333333,0.345,0.21666666666666667,0.7566666666666667,0.482,0.365,0.48200000000000004,0.7816666666666666,0.527,0.168,0.315,67.3,0.36833333333333335,1.955,10.58,0.087,0.14666666666666667,0.15,0.41,0.595,0.415,0.24666666666666667,0.855,0.558,0.4766666666666667,0.518,0.8416666666666667,0.606,0.129,0.23833333333333334,0.867,13
DAYTON,DAYTON,0.552,0.3484375,2,1,0.114,0.1,0.6328125,0.539,1.3140625,0.48,0.63125,0.36,0.4734375,0.696,0.3296875,0.251,4,6,6,105.6,0.331,0.2484375,0.5489999999999999,0.321875,0.085,0.071875,0.503125,0.483,1.396875,0.419,0.5859375,0.239,0.334375,0.692,0.23125,0.166,0.247,0.2078125,0.4359375,1.5796875,0.105,0.1734375,0.374,0.521875,0.338,0.1765625,0.875,0.468,0.409375,0.447,0.7109375,0.508,0.16399999999999998,0.3046875,66.2,0.365625,1.746875,7.8,0.09300000000000001,0.1546875,1.11,0.357,0.46875,0.33,0.1546875,0.8453125,0.564,0.4765625,0.5529999999999999,0.88125,0.568,0.193,0.3671875,0.625,10
DELAWARE-STATE,DELAWARE-STATE,0.446,0.25,7,0,0.11900000000000001,0.09821428571428571,0.6392857142857142,0.436,1.4428571428571428,0.389,0.5607142857142857,0.287,0.4142857142857143,0.642,0.26607142857142857,0.184,4,2,12,86.1,0.273,0.2642857142857143,0.6829999999999999,0.45,0.086,0.08214285714285714,0.7035714285714286,0.51,1.5625,0.422,0.6589285714285714,0.245,0.3821428571428571,0.706,0.26964285714285713,0.173,0.32799999999999996,0.3125,0.4357142857142857,1.8625,0.10099999999999999,0.17857142857142858,0.472,0.7375,0.373,0.275,0.825,0.465,0.38392857142857145,0.529,1.0160714285714285,0.534,0.162,0.3375,70.8,0.39285714285714285,1.5232142857142856,-29.23,0.102,0.18035714285714285,-4.69,0.335,0.48392857142857143,0.28,0.1357142857142857,0.9589285714285715,0.443,0.425,0.47100000000000003,0.9035714285714286,0.464,0.195,0.3964285714285714,0.143,2
DELAWARE,DELAWARE,0.444,0.2961240310077519,3,4,0.092,0.08372093023255814,0.5922480620155038,0.537,1.4217054263565891,0.469,0.6666666666666666,0.299,0.4248062015503876,0.77,0.3271317829457364,0.23,0,5,5,107.9,0.299,0.2372093023255814,0.506,0.3116279069767442,0.079,0.06821705426356589,0.5565891472868217,0.492,1.4465116279069767,0.426,0.6155038759689923,0.282,0.4077519379844961,0.757,0.3085271317829457,0.213,0.3,0.25426356589147286,0.4310077519379845,1.7317829457364342,0.092,0.15813953488372093,0.37,0.5348837209302325,0.359,0.19224806201550387,0.9116279069767442,0.464,0.4232558139534884,0.494,0.8108527131782945,0.528,0.168,0.33178294573643413,68.7,0.3953488372093023,1.8542635658914728,-1.03,0.09300000000000001,0.15968992248062017,-3.7,0.39,0.5550387596899224,0.349,0.1937984496124031,0.8666666666666667,0.546,0.4728682170542636,0.506,0.8294573643410853,0.571,0.16899999999999998,0.3302325581395349,0.688,11
DENVER,DENVER,0.496,0.30684931506849317,8,0,0.096,0.08356164383561644,0.5972602739726027,0.515,1.358904109589041,0.456,0.6191780821917808,0.319,0.4328767123287671,0.687,0.29726027397260274,0.219,3,5,12,98.3,0.235,0.18767123287671234,0.449,0.28356164383561644,0.102,0.09178082191780822,0.6109589041095891,0.512,1.4109589041095891,0.448,0.6315068493150685,0.333,0.46986301369863015,0.743,0.3493150684931507,0.248,0.281,0.2328767123287671,0.4547945205479452,1.7945205479452055,0.085,0.14657534246575343,0.383,0.5397260273972603,0.338,0.1821917808219178,0.8712328767123287,0.516,0.44931506849315067,0.518,0.8438356164383561,0.549,0.168,0.33013698630136984,69.0,0.43424657534246575,1.6958904109589041,-10.16,0.085,0.14657534246575343,-5.54,0.338,0.4589041095890411,0.349,0.16027397260273973,0.9,0.51,0.4589041095890411,0.48200000000000004,0.7849315068493151,0.542,0.18,0.3424657534246575,0.333,6
DEPAUL,DEPAUL,0.419,0.29333333333333333,3,2,0.133,0.12833333333333333,0.71,0.504,1.5616666666666668,0.448,0.7,0.327,0.51,0.676,0.345,0.221,3,7,6,106.7,0.327,0.3,0.509,0.3333333333333333,0.07200000000000001,0.07333333333333333,0.6183333333333333,0.49,1.5466666666666666,0.423,0.655,0.227,0.3516666666666667,0.73,0.25666666666666665,0.166,0.254,0.24166666666666667,0.4633333333333333,1.7716666666666667,0.086,0.155,0.378,0.585,0.35,0.205,0.9616666666666667,0.468,0.45,0.46,0.86,0.517,0.154,0.31166666666666665,72.0,0.37,1.92,7.79,0.081,0.145,1.85,0.346,0.54,0.324,0.175,1.0216666666666667,0.514,0.525,0.54,1.01,0.532,0.14800000000000002,0.31333333333333335,0.6,9
DETROIT-MERCY,DETROIT-MERCY,0.47600000000000003,0.28958333333333336,7,2,0.037000000000000005,0.029166666666666667,0.5958333333333333,0.506,1.45625,0.418,0.6083333333333333,0.229,0.3333333333333333,0.781,0.2604166666666667,0.179,0,3,7,103.6,0.271,0.2375,0.579,0.375,0.077,0.058333333333333334,0.6395833333333333,0.54,1.39375,0.465,0.6479166666666667,0.283,0.39375,0.672,0.26458333333333334,0.19,0.26899999999999996,0.21875,0.3875,1.76875,0.098,0.16458333333333333,0.438,0.6104166666666667,0.341,0.20833333333333334,0.7833333333333333,0.561,0.4395833333333333,0.507,0.8583333333333333,0.559,0.163,0.30833333333333335,67.0,0.38125,1.7354166666666666,-4.81,0.09,0.15,-3.48,0.476,0.69375,0.372,0.25833333333333336,0.7625,0.459,0.35,0.493,0.8333333333333334,0.537,0.158,0.3020833333333333,0.417,5
DIXIE-STATE,DIXIE-STATE,0.606,0.4161764705882353,5,2,0.054000000000000006,0.05,0.7235294117647059,0.513,1.5294117647058822,0.449,0.6867647058823529,0.341,0.5220588235294118,0.715,0.3735294117647059,0.244,3,6,9,102.0,0.261,0.23823529411764705,0.54,0.3735294117647059,0.11,0.10588235294117647,0.675,0.517,1.5323529411764707,0.451,0.6911764705882353,0.3,0.4602941176470588,0.661,0.3044117647058823,0.199,0.226,0.21176470588235294,0.49558823529411766,1.888235294117647,0.096,0.18235294117647058,0.396,0.6073529411764705,0.332,0.20147058823529412,0.925,0.529,0.48970588235294116,0.48,0.8867647058823529,0.539,0.171,0.3602941176470588,76.2,0.4823529411764706,1.9441176470588235,-9.29,0.092,0.175,0.63,0.372,0.5691176470588235,0.346,0.19705882352941176,0.9602941176470589,0.51,0.48970588235294116,0.52,0.961764705882353,0.547,0.174,0.3735294117647059,0.471,8
DRAKE,DRAKE,0.461,0.3072463768115942,1,2,0.08800000000000001,0.07391304347826087,0.6333333333333333,0.537,1.4391304347826086,0.463,0.6666666666666666,0.293,0.4217391304347826,0.732,0.30869565217391304,0.215,0,10,5,110.7,0.28600000000000003,0.2318840579710145,0.419,0.2391304347826087,0.091,0.07971014492753623,0.5797101449275363,0.487,1.3492753623188405,0.423,0.5710144927536231,0.318,0.4289855072463768,0.652,0.2797101449275362,0.207,0.248,0.20869565217391303,0.38115942028985506,1.5927536231884059,0.08800000000000001,0.14782608695652175,0.375,0.5057971014492754,0.338,0.17101449275362318,0.8434782608695652,0.474,0.4,0.47700000000000004,0.7884057971014493,0.513,0.17,0.3173913043478261,67.0,0.4028985507246377,1.8536231884057972,7.83,0.099,0.16521739130434782,-0.51,0.39,0.5608695652173913,0.377,0.21159420289855072,0.8782608695652174,0.518,0.45507246376811594,0.523,0.8652173913043478,0.565,0.145,0.2782608695652174,0.706,12
DREXEL,DREXEL,0.498,0.33877551020408164,3,1,0.07,0.0673469387755102,0.6469387755102041,0.525,1.4795918367346939,0.459,0.6795918367346939,0.261,0.38571428571428573,0.725,0.2795918367346939,0.189,1,4,6,106.8,0.267,0.22244897959183674,0.452,0.3,0.078,0.07142857142857142,0.610204081632653,0.517,1.4510204081632654,0.457,0.6632653061224489,0.281,0.40816326530612246,0.68,0.27755102040816326,0.191,0.22699999999999998,0.18979591836734694,0.4142857142857143,1.7775510204081633,0.098,0.1673469387755102,0.333,0.48367346938775513,0.359,0.17346938775510204,0.9673469387755103,0.506,0.4897959183673469,0.479,0.8,0.54,0.133,0.2530612244897959,68.6,0.373469387755102,1.8326530612244898,-0.19,0.059000000000000004,0.10204081632653061,-0.01,0.382,0.5653061224489796,0.343,0.19387755102040816,0.9142857142857143,0.531,0.4857142857142857,0.521,0.8693877551020408,0.551,0.146,0.2836734693877551,0.5,6
DUKE,DUKE,0.563,0.4266666666666667,1,1,0.139,0.14333333333333334,0.7,0.551,1.56,0.486,0.7583333333333333,0.306,0.4766666666666667,0.738,0.3516666666666667,0.225,1,10,2,116.3,0.294,0.255,0.499,0.31833333333333336,0.083,0.08333333333333333,0.6133333333333333,0.461,1.555,0.411,0.6383333333333333,0.179,0.2783333333333333,0.653,0.18166666666666667,0.117,0.267,0.255,0.435,1.6166666666666667,0.081,0.14333333333333334,0.339,0.5266666666666666,0.301,0.15833333333333333,1.0283333333333333,0.467,0.48,0.47600000000000003,0.8683333333333333,0.479,0.172,0.3516666666666667,71.2,0.35,2.07,20.72,0.11599999999999999,0.20666666666666667,2.59,0.355,0.5533333333333333,0.364,0.20166666666666666,1.0066666666666666,0.553,0.5566666666666666,0.524,0.955,0.579,0.12,0.24333333333333335,0.867,13
DUQUESNE,DUQUESNE,0.40399999999999997,0.26371681415929205,3,1,0.098,0.09911504424778761,0.5911504424778761,0.478,1.5539823008849558,0.42,0.6530973451327433,0.244,0.3787610619469027,0.701,0.26548672566371684,0.171,3,3,8,102.7,0.32299999999999995,0.31150442477876106,0.501,0.3380530973451327,0.095,0.09734513274336283,0.6530973451327433,0.514,1.479646017699115,0.456,0.6743362831858407,0.231,0.3415929203539823,0.731,0.24955752212389382,0.169,0.307,0.26194690265486725,0.3769911504424779,1.7699115044247788,0.079,0.13451327433628318,0.316,0.4672566371681416,0.367,0.17168141592920355,1.0123893805309734,0.497,0.5026548672566372,0.503,0.9150442477876106,0.539,0.166,0.3274336283185841,68.2,0.3504424778761062,1.7504424778761063,-1.8,0.094,0.16106194690265488,-1.02,0.339,0.5274336283185841,0.339,0.17876106194690267,1.0265486725663717,0.462,0.4743362831858407,0.49700000000000005,0.9026548672566371,0.505,0.138,0.2778761061946903,0.429,6
EAST-CAROLINA,EAST-CAROLINA,0.633,0.40165289256198344,2,0,0.076,0.06446280991735537,0.6446280991735537,0.508,1.4479338842975207,0.438,0.6347107438016529,0.328,0.4743801652892562,0.749,0.35537190082644626,0.245,0,9,5,104.4,0.27699999999999997,0.2396694214876033,0.613,0.38181818181818183,0.1,0.09090909090909091,0.6264462809917355,0.495,1.462809917355372,0.426,0.6231404958677685,0.277,0.4049586776859504,0.739,0.2991735537190083,0.205,0.263,0.22975206611570248,0.4413223140495868,1.7487603305785124,0.095,0.1652892561983471,0.42,0.6148760330578512,0.331,0.20330578512396694,0.8479338842975207,0.495,0.41983471074380163,0.49200000000000005,0.856198347107438,0.528,0.162,0.32066115702479336,69.9,0.3785123966942149,1.8264462809917354,1.35,0.099,0.17355371900826447,-1.78,0.373,0.540495867768595,0.373,0.20165289256198346,0.9074380165289256,0.477,0.43305785123966944,0.508,0.8842975206611571,0.546,0.159,0.31735537190082647,0.667,10
EAST-TENNESSEE-STATE,EAST-TENNESSEE-STATE,0.508,0.3347222222222222,6,1,0.076,0.06388888888888888,0.6208333333333333,0.508,1.5069444444444444,0.437,0.6583333333333333,0.206,0.30972222222222223,0.735,0.22777777777777777,0.151,2,6,8,103.3,0.315,0.28055555555555556,0.53,0.34444444444444444,0.075,0.06527777777777778,0.6111111111111112,0.499,1.5083333333333333,0.431,0.65,0.257,0.3875,0.717,0.2777777777777778,0.184,0.315,0.2861111111111111,0.35833333333333334,1.7833333333333334,0.107,0.18194444444444444,0.442,0.6666666666666666,0.308,0.20555555555555555,0.8416666666666667,0.528,0.4444444444444444,0.499,0.8972222222222223,0.527,0.151,0.3,68.1,0.3680555555555556,1.7597222222222222,-1.95,0.10400000000000001,0.1763888888888889,1.74,0.424,0.6388888888888888,0.337,0.2152777777777778,0.8680555555555556,0.51,0.44305555555555554,0.501,0.9013888888888889,0.532,0.16399999999999998,0.325,0.556,10
EASTERN-ILLINOIS,EASTERN-ILLINOIS,0.612,0.31785714285714284,9,0,0.10800000000000001,0.09821428571428571,0.6071428571428571,0.46,1.3071428571428572,0.398,0.5196428571428572,0.268,0.35,0.617,0.21607142857142858,0.165,2,2,12,83.8,0.22399999999999998,0.18928571428571428,0.565,0.36607142857142855,0.127,0.10357142857142858,0.6571428571428571,0.499,1.4964285714285714,0.433,0.6482142857142857,0.249,0.3732142857142857,0.694,0.25892857142857145,0.173,0.324,0.2910714285714286,0.4035714285714286,1.7517857142857143,0.14,0.2375,0.391,0.5857142857142857,0.335,0.19642857142857142,0.9107142857142857,0.496,0.4517857142857143,0.544,0.9482142857142857,0.523,0.151,0.2982142857142857,67.7,0.3767857142857143,1.417857142857143,-22.37,0.086,0.14642857142857144,-3.71,0.376,0.49107142857142855,0.331,0.1625,0.8160714285714286,0.438,0.35714285714285715,0.456,0.7964285714285714,0.481,0.222,0.41964285714285715,0.143,2
EASTERN-KENTUCKY,EASTERN-KENTUCKY,0.537,0.39854014598540144,6,1,0.094,0.08905109489051095,0.637956204379562,0.51,1.748905109489051,0.424,0.7416058394160584,0.205,0.35912408759124087,0.703,0.25255474452554744,0.144,3,7,9,106.9,0.314,0.33138686131386863,0.479,0.3124087591240876,0.08199999999999999,0.072992700729927,0.7226277372262774,0.492,1.486131386861314,0.439,0.6525547445255474,0.288,0.42773722627737226,0.727,0.310948905109489,0.209,0.295,0.2671532846715328,0.3708029197080292,1.7737226277372262,0.09300000000000001,0.17664233576642335,0.363,0.5401459854014599,0.292,0.15766423357664233,0.945985401459854,0.523,0.4948905109489051,0.505,0.9897810218978103,0.525,0.22,0.4759124087591241,76.2,0.42043795620437957,2.0364963503649633,-3.38,0.14400000000000002,0.27445255474452557,-4.38,0.49,0.8569343065693431,0.351,0.3007299270072993,0.891970802919708,0.494,0.4408759124087591,0.495,0.9693430656934306,0.53,0.14400000000000002,0.32262773722627736,0.471,8
EASTERN-MICHIGAN,EASTERN-MICHIGAN,0.376,0.2440677966101695,6,1,0.086,0.08305084745762711,0.6813559322033899,0.492,1.4677966101694915,0.442,0.6491525423728813,0.322,0.4728813559322034,0.703,0.33220338983050846,0.226,1,6,7,96.6,0.21,0.1847457627118644,0.428,0.27627118644067794,0.113,0.1135593220338983,0.6966101694915254,0.49,1.505084745762712,0.429,0.6457627118644068,0.323,0.4864406779661017,0.697,0.3389830508474576,0.225,0.26899999999999996,0.25084745762711863,0.4288135593220339,1.8135593220338984,0.095,0.17457627118644067,0.361,0.5440677966101695,0.336,0.18305084745762712,0.9610169491525423,0.481,0.46271186440677964,0.522,0.9474576271186441,0.522,0.16699999999999998,0.3474576271186441,73.6,0.43389830508474575,1.776271186440678,-5.15,0.094,0.17288135593220338,-1.77,0.314,0.4610169491525424,0.316,0.14576271186440679,1.006779661016949,0.5,0.5033898305084745,0.478,0.8661016949152542,0.525,0.166,0.33728813559322035,0.5,7
EASTERN-WASHINGTON,EASTERN-WASHINGTON,0.619,0.3984496124031008,4,6,0.073,0.06666666666666667,0.7178294573643411,0.513,1.462015503875969,0.44,0.6434108527131783,0.381,0.5565891472868217,0.744,0.413953488372093,0.283,2,3,7,103.4,0.282,0.2496124031007752,0.507,0.3271317829457364,0.10099999999999999,0.08217054263565891,0.6356589147286822,0.479,1.5472868217054263,0.417,0.6449612403100775,0.31,0.4790697674418605,0.761,0.3643410852713178,0.235,0.24100000000000002,0.22790697674418606,0.5054263565891473,1.848062015503876,0.08800000000000001,0.16279069767441862,0.406,0.627906976744186,0.309,0.1937984496124031,0.9193798449612403,0.491,0.4511627906976744,0.47200000000000003,0.8635658914728682,0.521,0.153,0.31937984496124033,74.1,0.4728682170542636,1.917829457364341,-5.89,0.084,0.15503875968992248,-3.47,0.442,0.6465116279069767,0.331,0.21395348837209302,0.8155038759689922,0.527,0.4294573643410853,0.528,0.9674418604651163,0.555,0.174,0.3643410852713178,0.563,9
ELON,ELON,0.541,0.3296875,7,0,0.069,0.059375,0.6125,0.51,1.425,0.428,0.609375,0.25,0.35625,0.746,0.265625,0.186,2,4,12,99.5,0.21899999999999997,0.1890625,0.503,0.303125,0.129,0.1,0.6734375,0.504,1.3875,0.435,0.603125,0.474,0.6578125,0.732,0.48125,0.347,0.307,0.271875,0.434375,1.8796875,0.10800000000000001,0.1875,0.377,0.5234375,0.367,0.1921875,0.8640625,0.476,0.4109375,0.541,0.9453125,0.553,0.14800000000000002,0.2953125,69.2,0.5453125,1.7203125,-7.33,0.085,0.146875,4.38,0.455,0.6484375,0.364,0.2359375,0.7765625,0.481,0.3734375,0.45899999999999996,0.8015625,0.54,0.172,0.33125,0.25,4
EVANSVILLE,EVANSVILLE,0.484,0.25365853658536586,5,1,0.06,0.05203252032520325,0.5756097560975609,0.476,1.3154471544715447,0.398,0.5235772357723577,0.245,0.32195121951219513,0.697,0.22439024390243903,0.171,3,3,11,92.8,0.18,0.14959349593495935,0.452,0.2764227642276423,0.085,0.056910569105691054,0.6813008130081301,0.537,1.2959349593495935,0.472,0.6113821138211382,0.284,0.367479674796748,0.686,0.25203252032520324,0.194,0.217,0.15934959349593497,0.3723577235772358,1.6439024390243901,0.067,0.1073170731707317,0.329,0.42601626016260163,0.397,0.16910569105691056,0.8699186991869918,0.508,0.44227642276422763,0.537,0.8406504065040651,0.559,0.161,0.28292682926829266,63.6,0.34959349593495936,1.4764227642276422,-8.41,0.09,0.14308943089430895,-0.27,0.491,0.6455284552845528,0.317,0.2048780487804878,0.6699186991869919,0.476,0.31869918699186994,0.46299999999999997,0.7252032520325203,0.503,0.154,0.2682926829268293,0.267,4
FAIRFIELD,FAIRFIELD,0.495,0.32769230769230767,4,5,0.08199999999999999,0.08,0.6692307692307692,0.521,1.4507692307692308,0.456,0.6615384615384615,0.253,0.3676923076923077,0.715,0.2630769230769231,0.181,4,3,8,105.8,0.285,0.23692307692307693,0.43799999999999994,0.2630769230769231,0.087,0.07692307692307693,0.5938461538461538,0.47,1.426153846153846,0.421,0.6,0.315,0.4492307692307692,0.675,0.3030769230769231,0.213,0.251,0.2246153846153846,0.3984615384615385,1.6446153846153846,0.081,0.13538461538461538,0.314,0.44769230769230767,0.316,0.14153846153846153,0.9784615384615385,0.469,0.4584615384615385,0.475,0.8184615384615385,0.502,0.14300000000000002,0.27384615384615385,67.1,0.42,1.7753846153846153,-3.11,0.08,0.13384615384615384,-5.11,0.389,0.5646153846153846,0.335,0.18923076923076923,0.8861538461538462,0.533,0.4723076923076923,0.525,0.9061538461538462,0.546,0.146,0.2784615384615385,0.5,8
FAIRLEIGH-DICKINSON,FAIRLEIGH-DICKINSON,0.494,0.27045454545454545,9,1,0.066,0.06363636363636363,0.5727272727272728,0.43,1.4522727272727274,0.377,0.5477272727272727,0.266,0.38636363636363635,0.694,0.2681818181818182,0.185,1,0,10,86.2,0.258,0.25,0.603,0.4318181818181818,0.11599999999999999,0.11136363636363636,0.7181818181818181,0.539,1.5022727272727272,0.477,0.7159090909090909,0.343,0.5159090909090909,0.714,0.36818181818181817,0.245,0.335,0.28863636363636364,0.3795454545454545,1.9863636363636363,0.095,0.16818181818181818,0.356,0.5340909090909091,0.349,0.18636363636363637,0.9681818181818181,0.547,0.5295454545454545,0.55,1.0068181818181818,0.568,0.152,0.31363636363636366,70.5,0.46136363636363636,1.518181818181818,-18.37,0.08,0.1409090909090909,0.36,0.336,0.48863636363636365,0.316,0.15454545454545454,0.9636363636363636,0.408,0.3931818181818182,0.45,0.8227272727272728,0.464,0.183,0.3659090909090909,0.091,1
FLORIDA-AM,FLORIDA-AM,0.462,0.2857142857142857,9,0,0.078,0.06607142857142857,0.5803571428571429,0.447,1.4875,0.415,0.6178571428571429,0.236,0.3517857142857143,0.726,0.25535714285714284,0.172,2,3,11,91.0,0.257,0.23214285714285715,0.5529999999999999,0.34464285714285714,0.061,0.06785714285714285,0.6714285714285714,0.509,1.4214285714285715,0.438,0.6232142857142857,0.343,0.4875,0.681,0.33214285714285713,0.234,0.316,0.26785714285714285,0.3678571428571429,1.7803571428571427,0.085,0.14821428571428572,0.403,0.5732142857142857,0.352,0.2017857142857143,0.8482142857142857,0.497,0.42142857142857143,0.536,0.9392857142857143,0.539,0.17600000000000002,0.3535714285714286,69.7,0.4303571428571429,1.5857142857142856,-12.01,0.102,0.17857142857142858,0.24,0.247,0.3678571428571429,0.257,0.09464285714285714,1.1196428571428572,0.467,0.5232142857142857,0.46399999999999997,0.8125,0.479,0.16399999999999998,0.325,0.214,3
FLORIDA-ATLANTIC,FLORIDA-ATLANTIC,0.521,0.35752212389380533,3,1,0.062,0.05486725663716814,0.6460176991150443,0.535,1.4920353982300885,0.46,0.6867256637168142,0.287,0.4283185840707965,0.657,0.2814159292035398,0.189,3,7,6,108.4,0.311,0.2761061946902655,0.523,0.3168141592920354,0.071,0.06017699115044248,0.6123893805309735,0.515,1.3486725663716814,0.449,0.6053097345132743,0.32,0.431858407079646,0.68,0.2938053097345133,0.218,0.20800000000000002,0.16991150442477876,0.4088495575221239,1.6831858407079645,0.076,0.13097345132743363,0.348,0.4690265486725664,0.381,0.17876106194690267,0.879646017699115,0.485,0.4265486725663717,0.45899999999999996,0.7823008849557522,0.542,0.188,0.35929203539823007,69.3,0.431858407079646,1.8778761061946903,0.15,0.11699999999999999,0.20353982300884957,-3.85,0.432,0.6442477876106195,0.346,0.22300884955752212,0.8477876106194691,0.547,0.46371681415929206,0.541,0.9221238938053097,0.554,0.151,0.30265486725663715,0.571,8
FLORIDA-GULF-COAST,FLORIDA-GULF-COAST,0.615,0.4169230769230769,4,2,0.132,0.12,0.676923076923077,0.547,1.4815384615384615,0.458,0.6784615384615384,0.285,0.42153846153846153,0.682,0.2876923076923077,0.194,1,9,5,108.1,0.32,0.27384615384615385,0.556,0.35384615384615387,0.08199999999999999,0.06153846153846154,0.5815384615384616,0.488,1.5076923076923077,0.422,0.6369230769230769,0.254,0.3830769230769231,0.687,0.2630769230769231,0.174,0.258,0.2353846153846154,0.37846153846153846,1.7338461538461538,0.094,0.16615384615384615,0.396,0.5969230769230769,0.33,0.19692307692307692,0.9107692307692308,0.483,0.44,0.462,0.816923076923077,0.513,0.155,0.30923076923076925,70.6,0.3569230769230769,1.9076923076923078,-1.33,0.10800000000000001,0.19076923076923077,-3.9,0.496,0.7353846153846154,0.358,0.2630769230769231,0.7461538461538462,0.557,0.4153846153846154,0.5379999999999999,0.9507692307692308,0.567,0.17600000000000002,0.35846153846153844,0.688,11
