assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,abbreviation
0.48,0.258823529,12,0,0.057,0.052941176,0.520588235,0.454,1.386764706,0.389,0.539705882,0.312,0.432352941,0.738,0.319117647,0.23,2,3,14,90.2,0.204,0.185294118,0.555,0.408823529,0.12,0.089705882,0.725,0.577,1.447058824,0.509,0.736764706,0.297,0.429411765,0.726,0.311764706,0.215,0.311,0.235294118,0.398529412,1.980882353,0.103,0.180882353,0.363,0.525,0.373,0.195588235,0.922058824,0.587,0.541176471,0.576,0.960294118,0.6,0.171,0.339705882,70,0.404411765,1.579411765,-19.24,0.097,0.170588235,2.03,0.46,0.638235294,0.283,0.180882353,0.748529412,0.479,0.358823529,0.424,0.705882353,0.496,0.176,0.339705882,0.176,3,68.2,92.1,44.4,21.2,22.8,28.9,118.7,58.5,18.9,36.7,31.7,76.4,-1.1,-0.9,-1.4,-0.8,0.1,0.4,2.04,36.6,19,ARKANSAS-PINE-BLUFF
0.612,0.414876033,3,4,0.106,0.105785124,0.656198347,0.515,1.446280992,0.469,0.67768595,0.35,0.505785124,0.758,0.383471074,0.265,1,7,4,105.2,0.316,0.266115702,0.505,0.32231405,0.073,0.076033058,0.575206612,0.477,1.489256198,0.428,0.638016529,0.305,0.454545455,0.658,0.299173554,0.201,0.295,0.274380165,0.447933884,1.720661157,0.101,0.180165289,0.327,0.487603306,0.298,0.145454545,1.001652893,0.492,0.492561983,0.479,0.849586777,0.505,0.174,0.358677686,71.2,0.442975207,1.872727273,-4.28,0.11,0.196694215,-5.69,0.279,0.403305785,0.332,0.133884298,1.042975207,0.521,0.543801653,0.521,0.92231405,0.555,0.173,0.352066116,0.733,11,69.5,104.2,50.9,21.3,31.8,38.4,105.6,49.4,19.3,31.8,28.6,76,-0.3,-0.6,0.1,-2.7,-1.1,-0.4,1.51,27.9,78.2,ARKANSAS-STATE
0.557,0.3984375,2,0,0.133,0.1078125,0.66875,0.513,1.5515625,0.461,0.715625,0.374,0.5796875,0.728,0.421875,0.272,1,9,5,109.5,0.313,0.284375,0.564,0.34375,0.066,0.0671875,0.625,0.508,1.409375,0.432,0.609375,0.314,0.4421875,0.724,0.3203125,0.227,0.209,0.1765625,0.478125,1.753125,0.086,0.1578125,0.427,0.6015625,0.356,0.2140625,0.8078125,0.489,0.3953125,0.457,0.8015625,0.541,0.19,0.3796875,73.5,0.4125,2.0125,11.84,0.111,0.2046875,1.47,0.345,0.5359375,0.297,0.159375,1.015625,0.548,0.55625,0.543,0.953125,0.551,0.145,0.3109375,0.688,11,73.8,111.4,51.3,16.9,31.5,37.4,97.7,50.8,20.7,21.2,31.4,76.6,0.3,1.4,-0.8,0.6,-0.1,-3,2.22,29.2,33.6,ARKANSAS
0.513,0.341085271,6,2,0.049,0.046511628,0.685271318,0.499,1.51627907,0.439,0.665116279,0.306,0.463565891,0.605,0.280620155,0.185,1,6,7,99.7,0.305,0.286821705,0.533,0.350387597,0.116,0.111627907,0.654263566,0.493,1.541085271,0.427,0.657364341,0.217,0.334883721,0.657,0.220155039,0.143,0.272,0.255813953,0.427906977,1.741085271,0.11,0.198449612,0.388,0.598449612,0.345,0.20620155,0.942635659,0.479,0.451162791,0.484,0.910077519,0.512,0.174,0.358139535,72,0.365891473,1.79379845,-9.61,0.114,0.204651163,-5.75,0.366,0.55503876,0.33,0.182945736,0.96124031,0.502,0.482170543,0.516,0.972093023,0.517,0.167,0.348837209,0.563,9,71.1,99.3,48.7,19.9,30,31.3,107.2,51.9,19.2,28.5,22.6,75.4,-0.3,0.2,-0.8,-2.5,-2,-2.4,1.47,33.1,49.1,ARMY
0.518,0.370769231,0,4,0.225,0.2,0.701538462,0.523,1.576923077,0.454,0.715384615,0.298,0.469230769,0.711,0.333846154,0.212,0,8,1,109,0.306,0.278461538,0.485,0.266153846,0.096,0.090769231,0.632307692,0.439,1.444615385,0.38,0.549230769,0.342,0.493846154,0.701,0.346153846,0.24,0.268,0.256923077,0.416923077,1.615384615,0.095,0.172307692,0.384,0.555384615,0.307,0.170769231,0.889230769,0.426,0.378461538,0.476,0.889230769,0.481,0.192,0.4,72.9,0.458461538,1.984615385,22.52,0.131,0.238461538,7.52,0.4,0.630769231,0.349,0.22,0.946153846,0.524,0.495384615,0.524,0.98,0.551,0.143,0.3,0.938,15,71.9,115,52.3,16.6,31.8,29.8,89.3,43.9,22.1,27.9,34.2,77.4,2.5,2.9,2.2,0.8,-2.1,-1.4,1.37,37.2,33.2,AUBURN
0.535,0.34,5,1,0.057,0.05,0.641666667,0.522,1.43,0.444,0.635,0.382,0.546666667,0.671,0.366666667,0.256,1,5,8,102.5,0.248,0.223333333,0.479,0.323333333,0.099,0.081666667,0.676666667,0.528,1.486666667,0.454,0.675,0.343,0.51,0.709,0.361666667,0.243,0.278,0.246666667,0.506666667,1.931666667,0.102,0.185,0.414,0.615,0.358,0.22,0.871666667,0.522,0.455,0.516,0.923333333,0.559,0.157,0.321666667,72.6,0.453333333,1.86,-8.21,0.088,0.16,-3.21,0.421,0.601666667,0.371,0.223333333,0.828333333,0.497,0.411666667,0.484,0.865,0.55,0.176,0.36,0.467,7,71.1,102.7,51.6,20.2,25.2,39.9,110,53.2,17.6,29,35.4,76.7,0.2,-0.3,0.6,-1,-1.1,0.4,1.73,30.5,30.9,BALL-STATE
0.581,0.453125,0,3,0.108,0.09375,0.6546875,0.56,1.5890625,0.491,0.7796875,0.243,0.3859375,0.664,0.25625,0.161,1,9,1,115.7,0.371,0.3171875,0.547,0.30625,0.062,0.0609375,0.5375,0.468,1.3484375,0.415,0.559375,0.247,0.3328125,0.704,0.234375,0.174,0.242,0.209375,0.3890625,1.4953125,0.099,0.175,0.355,0.478125,0.297,0.1421875,0.8703125,0.479,0.4171875,0.435,0.746875,0.496,0.229,0.4484375,70.5,0.3828125,2.0375,24.75,0.141,0.2484375,3.06,0.378,0.6,0.37,0.221875,0.9890625,0.564,0.5578125,0.565,0.971875,0.575,0.154,0.321875,0.938,15,69.7,120.6,56,18.4,39,24.3,90.6,46.8,25.7,25.4,24.7,77.5,1,0.3,1.7,1.5,-1.2,0.3,1.77,34.6,40.2,BAYLOR
0.549,0.378125,6,1,0.057,0.04375,0.603125,0.551,1.403125,0.491,0.6890625,0.207,0.290625,0.726,0.2109375,0.15,1,6,8,105.8,0.244,0.184375,0.535,0.321875,0.063,0.0546875,0.5703125,0.507,1.39375,0.432,0.6015625,0.271,0.378125,0.694,0.2625,0.188,0.263,0.215625,0.3625,1.675,0.094,0.15625,0.448,0.625,0.335,0.209375,0.76875,0.51,0.3921875,0.5,0.7859375,0.532,0.166,0.3140625,66.4,0.371875,1.7578125,-5.07,0.088,0.146875,4.59,0.381,0.534375,0.316,0.16875,0.86875,0.599,0.5203125,0.5,0.7875,0.57,0.16,0.29375,0.5,8,64.4,106.6,52.5,19.3,23.1,21.2,109.7,55.9,17.6,33.5,31.8,76.1,-1.1,-0.9,-1.2,-1.6,-0.1,-0.4,2.37,22.6,70,BELLARMINE
0.618,0.47107438,2,4,0.118,0.104132231,0.641322314,0.579,1.514049587,0.503,0.761983471,0.246,0.371900826,0.756,0.280991736,0.186,0,6,3,113.8,0.263,0.201652893,0.512,0.32892562,0.1,0.087603306,0.565289256,0.496,1.507438017,0.427,0.642975207,0.215,0.323966942,0.745,0.241322314,0.16,0.284,0.254545455,0.338842975,1.73553719,0.1,0.178512397,0.412,0.621487603,0.335,0.208264463,0.885950413,0.491,0.434710744,0.493,0.819834711,0.522,0.184,0.375206612,71.5,0.320661157,2.033057851,12.6,0.127,0.226446281,1.81,0.424,0.641322314,0.356,0.228099174,0.872727273,0.612,0.533884298,0.507,0.842975207,0.601,0.152,0.304132231,0.8,12,70,112.7,57.3,17.3,25.9,22.9,98.4,48.7,20.5,29,21.4,77.1,0.1,1.1,-0.8,0.4,-0.1,0,2.01,29.8,77.6,BELMONT
0.427,0.246666667,8,0,0.09,0.071666667,0.605,0.433,1.451666667,0.398,0.578333333,0.25,0.363333333,0.706,0.256666667,0.177,2,2,12,89.3,0.261,0.238333333,0.54,0.33,0.11,0.12,0.673333333,0.511,1.383333333,0.442,0.611666667,0.307,0.425,0.757,0.321666667,0.233,0.275,0.23,0.358333333,1.736666667,0.097,0.165,0.424,0.586666667,0.327,0.191666667,0.796666667,0.527,0.42,0.517,0.903333333,0.548,0.172,0.33,67.9,0.411666667,1.515,-13.78,0.107,0.181666667,-0.93,0.248,0.36,0.282,0.101666667,1.091666667,0.437,0.476666667,0.483,0.843333333,0.466,0.166,0.323333333,0.2,3,67.2,91.7,42.3,19.1,26.3,25,111.6,52.3,19,29.2,32.9,76.2,-0.9,-0.7,-1.2,-0.6,-0.8,-0.6,2,32.9,0,BETHUNE-COOKMAN
