,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
0,ABILENE-CHRISTIAN,0.5479999999999999,0.38333333333333336,1,0,0.11,0.08333333333333333,0.625,0.534,1.475,0.475,0.7,0.305,0.45,0.704,0.31666666666666665,0.215,0,2,1,101.3,0.294,0.25,0.38299999999999995,0.19166666666666668,0.053,0.05,0.6,0.453,1.2333333333333334,0.405,0.5,0.432,0.5333333333333333,0.703,0.375,0.304,0.242,0.2,0.4666666666666667,1.4916666666666667,0.11599999999999999,0.21666666666666667,0.385,0.475,0.246,0.11666666666666667,0.7583333333333333,0.505,0.38333333333333336,0.478,0.8,0.502,0.273,0.5583333333333333,74.7,0.475,1.8916666666666666,0.82,0.156,0.2916666666666667,5.82,0.356,0.525,0.333,0.175,0.95,0.553,0.525,0.522,0.875,0.56,0.21,0.45,0.667,2,0.7170000000000001,0.997,0.46799999999999997,0.25,0.21100000000000002,0.294,0.955,0.495,0.278,0.317,0.495,0.754,-0.016,-0.011000000000000001,-0.02,-0.006999999999999999,-0.008,-0.040999999999999995,0.0174,0.326,0.5589999999999999,71.7,16.3,16.8,99.7,95.5,17.1,43.9,39.0,26.3,55.6,18.0
0,AIR-FORCE,0.5920000000000001,0.336,1,0,0.161,0.12,0.688,0.522,1.288,0.441,0.568,0.342,0.44,0.618,0.272,0.211,1,1,2,95.3,0.19399999999999998,0.16,0.515,0.272,0.11,0.072,0.664,0.448,1.392,0.379,0.528,0.408,0.568,0.704,0.4,0.287,0.271,0.256,0.464,1.648,0.099,0.168,0.466,0.648,0.296,0.192,0.744,0.452,0.336,0.52,0.92,0.496,0.155,0.304,67.8,0.496,1.616,-22.5,0.099,0.168,-21.16,0.491,0.632,0.329,0.208,0.656,0.549,0.36,0.48,0.848,0.54,0.187,0.344,0.333,1,0.6709999999999999,0.94,0.522,0.203,0.19399999999999998,0.342,1.005,0.44799999999999995,0.179,0.271,0.408,0.775,-0.008,-0.001,-0.015,-0.001,0.008,0.031,0.0139,0.311,0.71,67.1,18.5,16.6,94.0,100.5,16.8,44.6,38.6,24.3,40.8,35.0
0,AKRON,0.618,0.336,0,0,0.09699999999999999,0.104,0.52,0.444,1.432,0.38,0.544,0.352,0.504,0.651,0.328,0.229,0,2,1,98.0,0.282,0.28,0.5,0.336,0.146,0.112,0.712,0.52,1.424,0.472,0.672,0.208,0.296,0.73,0.216,0.152,0.337,0.264,0.504,1.696,0.078,0.128,0.247,0.352,0.386,0.136,1.072,0.5,0.536,0.55,0.976,0.542,0.177,0.336,65.2,0.344,1.6,2.44,0.10300000000000001,0.168,6.44,0.464,0.664,0.277,0.184,0.768,0.469,0.36,0.45,0.8,0.479,0.122,0.232,0.667,2,0.653,1.024,0.444,0.142,0.282,0.35200000000000004,0.987,0.52,0.20600000000000002,0.337,0.20800000000000002,0.75,-0.021,-0.013000000000000001,-0.03,-0.034,-0.022000000000000002,-0.005,0.028999999999999998,0.21100000000000002,0.505,65.3,18.8,17.5,102.4,98.7,20.5,45.0,34.5,12.7,63.2,24.1
0,ALABAMA,0.461,0.2916666666666667,0,1,0.182,0.2,0.9666666666666667,0.463,1.575,0.402,0.6333333333333333,0.444,0.7,0.714,0.5,0.317,0,2,0,104.9,0.465,0.49166666666666664,0.431,0.20833333333333334,0.087,0.075,0.5666666666666667,0.332,1.6416666666666666,0.294,0.48333333333333334,0.289,0.475,0.649,0.30833333333333335,0.188,0.221,0.275,0.525,1.4,0.094,0.175,0.33,0.5416666666666666,0.231,0.125,1.1,0.326,0.35833333333333334,0.366,0.8416666666666667,0.375,0.128,0.275,74.8,0.49166666666666664,1.9583333333333333,28.68,0.08,0.15,6.35,0.45,0.7083333333333334,0.271,0.19166666666666668,0.8666666666666667,0.51,0.44166666666666665,0.634,1.4583333333333333,0.513,0.19399999999999998,0.4583333333333333,1.0,3,0.752,1.11,0.46299999999999997,0.245,0.465,0.444,0.8909999999999999,0.332,0.147,0.221,0.289,0.784,0.018000000000000002,0.016,0.02,0.018000000000000002,0.006,0.005,0.0127,0.32799999999999996,0.193,75.2,14.7,17.3,111.0,89.1,25.5,45.1,29.4,22.0,51.2,26.8
0,ALABAMA-AM,0.474,0.3375,1,0,0.139,0.125,0.55,0.512,1.5875,0.449,0.7125,0.283,0.45,0.611,0.275,0.173,1,0,2,100.7,0.299,0.2875,0.525,0.3875,0.08,0.0875,0.675,0.574,1.5125,0.488,0.7375,0.413,0.625,0.64,0.4,0.264,0.371,0.325,0.4375,2.1375,0.06,0.1125,0.405,0.6125,0.429,0.2625,0.9,0.528,0.475,0.544,1.0,0.591,0.18100000000000002,0.4,75.7,0.575,1.9,-6.68,0.106,0.2,2.82,0.315,0.5,0.4,0.2,1.0875,0.471,0.5125,0.456,0.8375,0.527,0.177,0.3875,0.0,0,0.721,0.8959999999999999,0.512,0.205,0.299,0.28300000000000003,1.043,0.574,0.21100000000000002,0.371,0.413,0.758,0.0,0.012,-0.012,-0.013000000000000001,-0.023,-0.027000000000000003,0.0241,0.385,0.565,72.1,14.3,17.0,89.6,104.3,14.5,53.9,31.6,18.7,44.4,36.8
0,ALABAMA-STATE,0.444,0.25,4,0,0.10400000000000001,0.1,0.525,0.375,1.7,0.331,0.5625,0.217,0.36875,0.729,0.26875,0.158,0,0,4,82.9,0.295,0.3375,0.547,0.4375,0.168,0.20625,0.80625,0.609,1.51875,0.527,0.8,0.457,0.69375,0.649,0.45,0.296,0.359,0.29375,0.4125,2.3,0.091,0.16875,0.366,0.55625,0.449,0.25,0.9625,0.571,0.55,0.561,1.1,0.622,0.145,0.3125,74.6,0.55,1.54375,-35.43,0.064,0.11875,-5.18,0.276,0.46875,0.32,0.15,1.23125,0.335,0.4125,0.439,0.8625,0.412,0.14800000000000002,0.325,0.0,0,0.726,0.902,0.375,0.174,0.295,0.217,1.0859999999999999,0.609,0.168,0.359,0.457,0.7709999999999999,-0.008,-0.012,-0.004,-0.001,0.002,0.016,0.0092,0.37,0.20600000000000002,72.6,17.3,14.8,90.2,108.6,17.4,53.4,29.1,19.6,47.8,32.6
0,ALCORN-STATE,0.44299999999999995,0.25833333333333336,1,2,0.083,0.06666666666666667,0.5833333333333334,0.479,1.3833333333333333,0.422,0.5833333333333334,0.271,0.375,0.756,0.2833333333333333,0.205,0,0,1,96.0,0.37,0.30833333333333335,0.508,0.275,0.084,0.08333333333333333,0.525,0.443,1.3916666666666666,0.389,0.5416666666666666,0.389,0.5416666666666666,0.646,0.35,0.251,0.391,0.375,0.45,1.5833333333333333,0.08,0.13333333333333333,0.425,0.5916666666666667,0.254,0.15,0.8,0.49,0.39166666666666666,0.502,0.9,0.48,0.198,0.4083333333333333,66.9,0.55,1.6083333333333334,11.36,0.14400000000000002,0.24166666666666667,10.36,0.283,0.39166666666666666,0.404,0.15833333333333333,0.9916666666666667,0.429,0.425,0.498,0.8916666666666667,0.515,0.207,0.4083333333333333,0.667,2,0.6940000000000001,0.946,0.479,0.24,0.37,0.271,1.026,0.44799999999999995,0.245,0.381,0.39399999999999996,0.757,-0.012,-0.019,-0.005,-0.01,-0.016,-0.019,0.016200000000000003,0.39799999999999996,0.5770000000000001,69.4,19.3,16.2,94.6,102.6,17.6,52.8,29.5,22.1,49.5,28.4
0,AMERICAN,0.408,0.25,2,0,0.095,0.075,0.55,0.496,1.525,0.402,0.6125,0.057,0.0875,0.571,0.05,0.033,0,0,2,95.4,0.243,0.225,0.556,0.375,0.063,0.05,0.7,0.608,1.325,0.509,0.675,0.292,0.3875,0.548,0.2125,0.16,0.254,0.1875,0.2125,1.825,0.115,0.1875,0.406,0.5375,0.488,0.2625,0.7875,0.524,0.4125,0.534,0.8875,0.605,0.16,0.2875,65.3,0.3625,1.5625,-15.23,0.107,0.175,-4.73,0.475,0.725,0.397,0.2875,0.8,0.406,0.325,0.466,0.775,0.499,0.166,0.3125,0.0,0,0.6729999999999999,0.9540000000000001,0.512,0.20199999999999999,0.265,0.158,1.0659999999999998,0.5670000000000001,0.171,0.264,0.34,0.763,0.006999999999999999,0.004,0.009000000000000001,0.0,-0.022000000000000002,-0.034,0.0159,0.294,0.628,67.3,19.8,17.1,95.4,106.6,10.7,44.9,44.4,15.7,45.7,38.6
0,APPALACHIAN-STATE,0.564,0.424,0,1,0.193,0.168,0.744,0.534,1.648,0.456,0.752,0.379,0.624,0.795,0.496,0.301,0,2,0,114.2,0.242,0.232,0.425,0.248,0.05,0.048,0.728,0.442,1.592,0.367,0.584,0.221,0.352,0.727,0.256,0.161,0.256,0.256,0.608,1.664,0.077,0.152,0.452,0.72,0.333,0.24,0.872,0.394,0.344,0.502,0.984,0.473,0.214,0.48,79.2,0.368,2.256,-5.01,0.109,0.216,-8.01,0.422,0.696,0.368,0.256,0.952,0.521,0.496,0.498,0.976,0.58,0.11599999999999999,0.256,1.0,3,0.685,0.977,0.461,0.10400000000000001,0.193,0.276,1.0,0.465,0.222,0.258,0.316,0.7759999999999999,0.016,0.013999999999999999,0.018000000000000002,-0.004,-0.006999999999999999,0.001,0.015300000000000001,0.29,0.307,68.5,17.4,17.9,97.7,100.0,16.4,47.1,36.4,20.9,43.3,35.8
0,ARIZONA,0.794,0.675,0,0,0.11,0.1375,0.9625,0.704,1.35,0.63,0.85,0.796,1.075,0.698,0.75,0.556,0,2,0,122.5,0.321,0.225,0.46299999999999997,0.3125,0.028999999999999998,0.025,0.475,0.436,1.7625,0.383,0.675,0.369,0.65,0.577,0.375,0.213,0.20600000000000002,0.25,0.8,1.9125,0.168,0.3625,0.291,0.5125,0.366,0.1875,1.25,0.39,0.4875,0.379,0.725,0.462,0.14,0.3375,86.6,0.55,2.65,18.55,0.075,0.1625,-10.95,0.352,0.475,0.421,0.2,0.875,0.743,0.65,0.621,1.1875,0.712,0.22399999999999998,0.5375,1.0,2,0.773,1.139,0.7040000000000001,0.248,0.321,0.7959999999999999,0.9109999999999999,0.436,0.156,0.20600000000000002,0.369,0.792,0.031,0.027000000000000003,0.035,0.013999999999999999,0.013999999999999999,0.015,0.0171,0.37,0.435,77.3,13.0,14.2,113.9,91.1,28.3,49.1,22.6,19.6,51.0,29.4
