,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
0,ARIZONA-STATE,0.557,0.312,1,0,0.182,0.176,0.752,0.452,1.416,0.395,0.56,0.458,0.648,0.642,0.416,0.294,0,2,1,93.4,0.336,0.328,0.47100000000000003,0.264,0.08,0.072,0.648,0.431,1.44,0.389,0.56,0.383,0.552,0.565,0.312,0.217,0.248,0.248,0.544,1.552,0.106,0.192,0.328,0.472,0.254,0.12,0.968,0.455,0.44,0.45299999999999996,0.896,0.456,0.18100000000000002,0.376,72.5,0.512,1.696,5.66,0.10099999999999999,0.184,-0.34,0.362,0.512,0.313,0.16,0.904,0.442,0.4,0.547,1.08,0.492,0.188,0.4,0.667,2,0.7170000000000001,1.012,0.44,0.21,0.325,0.434,0.919,0.426,0.214,0.245,0.377,0.7709999999999999,0.011000000000000001,0.016,0.006,-0.006,-0.018000000000000002,0.001,0.0229,0.321,0.335,71.7,15.9,17.7,101.2,91.9,24.7,48.0,27.3,22.1,53.0,24.9
0,ARKANSAS,0.466,0.3375,0,0,0.127,0.1,0.7,0.5,1.525,0.475,0.725,0.336,0.5125,0.683,0.35,0.23,0,2,0,102.7,0.314,0.275,0.389,0.175,0.021,0.025,0.6,0.401,1.2625,0.356,0.45,0.396,0.5,0.625,0.3125,0.248,0.222,0.2,0.4125,1.325,0.062,0.1125,0.376,0.475,0.237,0.1125,0.7875,0.429,0.3375,0.451,0.8,0.442,0.268,0.55,72.9,0.475,1.875,27.52,0.16399999999999998,0.3,5.52,0.213,0.325,0.231,0.075,1.2,0.542,0.65,0.5489999999999999,0.975,0.53,0.145,0.3,1.0,2,0.732,1.082,0.505,0.196,0.295,0.306,0.857,0.382,0.284,0.198,0.382,0.789,0.006999999999999999,0.005,0.009000000000000001,0.018000000000000002,0.026000000000000002,0.028999999999999998,0.0152,0.242,0.166,73.2,16.0,16.4,108.2,85.7,16.3,66.1,17.6,25.9,51.9,22.2
0,ARKANSAS-STATE,0.6990000000000001,0.5416666666666666,1,0,0.11800000000000001,0.09166666666666666,0.6333333333333333,0.539,1.5916666666666666,0.487,0.775,0.12,0.19166666666666668,0.609,0.11666666666666667,0.073,0,2,1,107.8,0.304,0.25833333333333336,0.466,0.225,0.087,0.09166666666666666,0.5916666666666667,0.463,1.2333333333333334,0.392,0.48333333333333334,0.324,0.4,0.771,0.30833333333333335,0.25,0.22399999999999998,0.18333333333333332,0.2833333333333333,1.45,0.078,0.13333333333333333,0.372,0.4583333333333333,0.382,0.175,0.775,0.398,0.30833333333333335,0.465,0.775,0.509,0.24,0.45,68.0,0.39166666666666666,1.8333333333333333,-19.64,0.17600000000000002,0.3,-10.64,0.335,0.5333333333333333,0.313,0.16666666666666666,1.0583333333333333,0.575,0.6083333333333333,0.535,0.8916666666666667,0.545,0.14400000000000002,0.2833333333333333,0.667,2,0.6970000000000001,0.953,0.43,0.249,0.278,0.07,1.033,0.47100000000000003,0.20199999999999999,0.242,0.314,0.7709999999999999,0.009000000000000001,0.009000000000000001,0.01,0.001,-0.017,-0.008,0.0154,0.213,0.302,69.7,18.6,18.1,95.3,103.3,5.8,65.4,28.8,21.3,39.3,39.3
0,ARKANSAS-PINE-BLUFF,0.598,0.38125,3,0,0.113,0.1,0.6875,0.448,1.6375,0.389,0.6375,0.172,0.28125,0.644,0.18125,0.111,0,1,3,88.9,0.244,0.25,0.5379999999999999,0.3125,0.10400000000000001,0.10625,0.775,0.453,1.4,0.415,0.58125,0.446,0.625,0.71,0.44375,0.317,0.257,0.2375,0.29375,1.7125,0.114,0.2125,0.366,0.5125,0.207,0.10625,0.8875,0.535,0.475,0.519,1.0125,0.505,0.188,0.39375,74.4,0.5,1.65,-4.58,0.121,0.225,9.42,0.378,0.61875,0.313,0.19375,1.01875,0.436,0.44375,0.48100000000000004,0.9375,0.466,0.163,0.34375,0.25,1,0.7340000000000001,0.907,0.442,0.213,0.195,0.192,1.107,0.505,0.19899999999999998,0.278,0.574,0.773,-0.005,-0.009000000000000001,-0.001,0.001,0.013999999999999999,0.002,0.015300000000000001,0.311,0.20199999999999999,73.4,16.9,15.8,90.7,110.7,13.5,49.8,36.7,30.4,46.6,23.0
0,ARMY,0.529,0.4625,0,0,0.040999999999999995,0.0375,0.675,0.583,1.725,0.507,0.875,0.29,0.5,0.65,0.325,0.188,1,1,1,123.8,0.373,0.3125,0.418,0.2875,0.042,0.0375,0.525,0.516,1.525,0.451,0.6875,0.221,0.3375,0.778,0.2625,0.172,0.14300000000000002,0.1125,0.3875,1.8375,0.086,0.1625,0.402,0.6125,0.327,0.2,0.9125,0.534,0.4875,0.392,0.6375,0.545,0.156,0.3125,75.7,0.4375,2.3375,-21.56,0.066,0.125,-16.56,0.486,0.8375,0.313,0.2625,0.8875,0.69,0.6125,0.608,0.9875,0.596,0.113,0.25,0.5,1,0.728,0.966,0.584,0.183,0.136,0.37799999999999995,1.053,0.619,0.177,0.14300000000000002,0.23800000000000002,0.76,-0.005,-0.003,-0.006,-0.008,-0.019,-0.024,0.0132,0.251,0.5720000000000001,72.8,15.5,17.1,96.6,105.3,19.7,54.3,26.0,14.2,50.0,35.8
0,AUBURN,0.519,0.3416666666666667,0,0,0.226,0.23333333333333334,0.6666666666666666,0.449,1.6333333333333333,0.403,0.6583333333333333,0.413,0.675,0.617,0.4166666666666667,0.255,0,3,0,108.7,0.48100000000000004,0.5166666666666667,0.385,0.20833333333333334,0.065,0.06666666666666667,0.5583333333333333,0.405,1.4916666666666667,0.363,0.5416666666666666,0.313,0.4666666666666667,0.554,0.25833333333333336,0.173,0.365,0.38333333333333336,0.49166666666666664,1.4666666666666666,0.087,0.15,0.307,0.4583333333333333,0.273,0.125,1.0333333333333334,0.403,0.4166666666666667,0.44299999999999995,0.9416666666666667,0.428,0.18600000000000003,0.39166666666666666,69.3,0.4666666666666667,1.8833333333333333,23.34,0.154,0.26666666666666666,6.67,0.372,0.6083333333333333,0.247,0.15,1.025,0.496,0.5083333333333333,0.557,1.1833333333333333,0.482,0.136,0.30833333333333335,1.0,3,0.716,1.115,0.449,0.17800000000000002,0.48100000000000004,0.413,0.892,0.405,0.226,0.365,0.313,0.772,0.013999999999999999,0.011000000000000001,0.017,0.009000000000000001,-0.017,-0.016,0.023,0.424,0.557,71.6,16.6,17.5,111.5,89.2,22.1,54.0,23.9,17.6,56.8,25.6
0,AUSTIN-PEAY,0.536,0.30833333333333335,2,0,0.040999999999999995,0.03333333333333333,0.5,0.438,1.4666666666666666,0.392,0.575,0.33,0.48333333333333334,0.655,0.31666666666666665,0.216,0,1,2,90.6,0.259,0.25,0.494,0.36666666666666664,0.068,0.06666666666666667,0.7166666666666667,0.585,1.425,0.52,0.7416666666666667,0.287,0.4083333333333333,0.735,0.3,0.211,0.341,0.25833333333333336,0.5,1.9666666666666666,0.071,0.125,0.433,0.6166666666666667,0.297,0.18333333333333332,0.8083333333333333,0.691,0.5583333333333333,0.565,0.975,0.607,0.21100000000000002,0.43333333333333335,70.6,0.4,1.6,-5.41,0.13699999999999998,0.24166666666666667,28.59,0.335,0.49166666666666664,0.271,0.13333333333333333,0.975,0.453,0.44166666666666665,0.435,0.75,0.472,0.147,0.2916666666666667,0.333,1,0.6729999999999999,0.975,0.319,0.20600000000000002,0.213,0.295,1.0390000000000001,0.618,0.191,0.396,0.237,0.775,0.016,0.013999999999999999,0.018000000000000002,0.012,0.002,-0.028999999999999998,0.0147,0.325,0.46299999999999997,67.3,20.8,16.0,97.5,103.9,28.7,55.3,16.0,13.0,63.0,24.1
0,BALL-STATE,0.485,0.4,1,0,0.16699999999999998,0.1625,0.75,0.567,1.5875,0.52,0.825,0.402,0.6375,0.706,0.45,0.283,0,1,1,120.8,0.449,0.3875,0.37,0.2125,0.033,0.0375,0.475,0.419,1.55,0.371,0.575,0.21,0.325,0.692,0.225,0.145,0.268,0.275,0.475,1.525,0.094,0.175,0.371,0.575,0.261,0.15,0.975,0.436,0.425,0.397,0.75,0.447,0.2,0.425,74.4,0.35,2.25,13.57,0.128,0.2375,25.57,0.276,0.4375,0.343,0.15,1.15,0.587,0.675,0.603,1.1375,0.595,0.161,0.3625,0.5,1,0.7190000000000001,0.995,0.473,0.248,0.366,0.41600000000000004,1.0390000000000001,0.48700000000000004,0.2,0.319,0.345,0.77,-0.006,-0.003,-0.009000000000000001,-0.001,-0.001,0.006,0.0232,0.242,0.596,71.9,17.8,15.1,99.5,103.9,24.6,47.9,27.5,19.4,51.4,29.2
0,BAYLOR,0.696,0.5916666666666667,0,0,0.149,0.11666666666666667,0.675,0.611,1.6583333333333334,0.513,0.85,0.422,0.7,0.667,0.4666666666666667,0.281,0,3,0,131.7,0.41100000000000003,0.38333333333333336,0.6890000000000001,0.35,0.021,0.016666666666666666,0.55,0.461,1.275,0.399,0.5083333333333333,0.418,0.5333333333333333,0.688,0.36666666666666664,0.288,0.22899999999999998,0.2,0.525,1.5416666666666667,0.08800000000000001,0.16666666666666666,0.386,0.49166666666666664,0.322,0.15833333333333333,0.7833333333333333,0.447,0.35,0.415,0.75,0.504,0.268,0.5583333333333333,75.6,0.48333333333333334,2.4916666666666667,23.82,0.172,0.325,-14.18,0.518,0.8583333333333333,0.379,0.325,0.8,0.656,0.525,0.585,1.0583333333333333,0.626,0.125,0.2833333333333333,1.0,3,0.728,1.1540000000000001,0.611,0.15,0.41100000000000003,0.42200000000000004,0.898,0.461,0.299,0.22899999999999998,0.418,0.773,0.008,0.011000000000000001,0.006,-0.006999999999999999,-0.004,0.004,0.017,0.366,0.397,72.8,15.3,16.3,115.4,89.8,18.7,42.1,39.1,23.8,45.4,30.8
0,BELLARMINE,0.5479999999999999,0.3333333333333333,1,1,0.092,0.05,0.6166666666666667,0.522,1.325,0.459,0.6083333333333333,0.358,0.475,0.737,0.35,0.264,0,1,1,108.9,0.247,0.19166666666666668,0.648,0.2916666666666667,0.071,0.058333333333333334,0.5833333333333334,0.447,1.25,0.36,0.45,0.373,0.4666666666666667,0.714,0.3333333333333333,0.267,0.295,0.25833333333333336,0.45,1.45,0.079,0.125,0.567,0.7083333333333334,0.306,0.21666666666666667,0.5416666666666666,0.431,0.23333333333333334,0.51,0.8416666666666667,0.493,0.19899999999999998,0.36666666666666664,63.6,0.425,1.7333333333333334,-3.83,0.084,0.13333333333333333,-0.83,0.384,0.5083333333333333,0.328,0.16666666666666666,0.8166666666666667,0.541,0.44166666666666665,0.49,0.8083333333333333,0.559,0.135,0.24166666666666667,0.667,2,0.654,1.0,0.447,0.13699999999999998,0.19699999999999998,0.35,1.052,0.451,0.209,0.361,0.447,0.772,-0.01,-0.005,-0.015,-0.001,0.004,0.021,0.0141,0.263,0.475,65.4,19.0,19.7,100.0,105.2,24.6,50.8,24.6,27.3,28.1,44.5
0,BELMONT,0.442,0.31666666666666665,2,0,0.08800000000000001,0.09166666666666666,0.525,0.536,1.525,0.47,0.7166666666666667,0.246,0.375,0.511,0.19166666666666668,0.126,0,1,2,102.3,0.22399999999999998,0.2,0.457,0.35,0.09300000000000001,0.08333333333333333,0.6916666666666667,0.576,1.4833333333333334,0.517,0.7666666666666667,0.23,0.3416666666666667,0.732,0.25,0.169,0.308,0.23333333333333334,0.425,1.9583333333333333,0.075,0.13333333333333333,0.298,0.44166666666666665,0.396,0.175,1.0416666666666667,0.568,0.5916666666666667,0.561,0.925,0.595,0.175,0.35,71.3,0.375,1.825,-9.77,0.10300000000000001,0.18333333333333332,-4.44,0.41,0.625,0.32,0.2,0.9,0.574,0.5166666666666667,0.439,0.725,0.536,0.15,0.3,0.333,1,0.721,1.035,0.536,0.168,0.22399999999999998,0.24600000000000002,1.012,0.5760000000000001,0.196,0.308,0.23,0.777,-0.004,-0.006999999999999999,-0.0,0.011000000000000001,0.024,0.003,0.0152,0.298,0.253,72.1,16.8,16.6,103.5,101.2,10.5,56.6,32.9,12.8,60.4,26.8
0,BETHUNE-COOKMAN,0.465,0.275,2,0,0.07400000000000001,0.058333333333333334,0.525,0.459,1.4166666666666667,0.418,0.5916666666666667,0.194,0.275,0.667,0.18333333333333332,0.129,0,1,2,86.8,0.22899999999999998,0.2,0.69,0.5,0.09699999999999999,0.1,0.675,0.576,1.4833333333333334,0.489,0.725,0.27,0.4,0.875,0.35,0.236,0.32299999999999995,0.25,0.36666666666666664,2.058333333333333,0.122,0.20833333333333334,0.466,0.6916666666666667,0.373,0.25833333333333336,0.7916666666666666,0.589,0.4666666666666667,0.561,0.925,0.615,0.145,0.2833333333333333,68.2,0.4,1.4833333333333334,-4.83,0.09300000000000001,0.15833333333333333,36.67,0.271,0.38333333333333336,0.304,0.11666666666666667,1.0333333333333334,0.46,0.475,0.439,0.725,0.479,0.188,0.35833333333333334,0.333,1,0.7040000000000001,0.9390000000000001,0.402,0.24,0.195,0.171,1.063,0.626,0.165,0.38299999999999995,0.28300000000000003,0.775,0.011000000000000001,0.013999999999999999,0.006999999999999999,0.001,-0.002,-0.004,0.016200000000000003,0.28800000000000003,0.58,70.4,19.3,13.7,93.9,106.3,12.1,65.4,22.4,16.3,50.5,33.2
