,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,avg_weight,avg_height
0,ABILENE-CHRISTIAN,0.653,0.44224137931034485,4,5,0.08900000000000001,0.07413793103448275,0.6189655172413793,0.512,1.5103448275862068,0.449,0.6775862068965517,0.339,0.5120689655172413,0.678,0.3474137931034483,0.23,0,13,5,105.2,0.313,0.2836206896551724,0.498,0.25775862068965516,0.099,0.09482758620689655,0.6224137931034482,0.458,1.282758620689655,0.404,0.5181034482758621,0.385,0.4939655172413793,0.681,0.33620689655172414,0.262,0.268,0.2267241379310345,0.5,1.5112068965517242,0.091,0.1629310344827586,0.349,0.4482758620689655,0.31,0.13879310344827586,0.8344827586206897,0.455,0.3793103448275862,0.485,0.8491379310344828,0.498,0.247,0.4982758620689655,72.0,0.47758620689655173,1.893103448275862,6.27,0.135,0.24310344827586206,-6.37,0.367,0.5543103448275862,0.344,0.19051724137931034,0.9560344827586207,0.509,0.4870689655172414,0.515,0.9025862068965518,0.54,0.162,0.3396551724137931,0.828,24,202.4,76.06666666666666
0,AIR-FORCE,0.59,0.308,10,1,0.08,0.062,0.47,0.521,1.17,0.446,0.522,0.309,0.361,0.693,0.25,0.214,8,3,20,91.9,0.153,0.11,0.563,0.368,0.08199999999999999,0.053,0.607,0.574,1.309,0.5,0.654,0.328,0.43,0.688,0.296,0.226,0.354,0.258,0.418,1.798,0.094,0.15,0.405,0.53,0.366,0.194,0.779,0.591,0.46,0.599,0.865,0.594,0.187,0.348,63.9,0.415,1.468,-12.98,0.111,0.177,0.22,0.45,0.527,0.33,0.174,0.643,0.541,0.348,0.401,0.58,0.547,0.212,0.361,0.2,5,192.4375,76.5625
0,AKRON,0.486,0.3279569892473118,5,5,0.08900000000000001,0.09032258064516129,0.6806451612903226,0.52,1.521505376344086,0.444,0.6752688172043011,0.303,0.4612903225806452,0.758,0.34946236559139787,0.23,1,9,8,110.2,0.31,0.2817204301075269,0.449,0.3,0.067,0.054838709677419356,0.6279569892473118,0.485,1.543010752688172,0.433,0.667741935483871,0.261,0.4032258064516129,0.712,0.2870967741935484,0.186,0.28600000000000003,0.27204301075268816,0.45376344086021503,1.7849462365591398,0.079,0.13870967741935483,0.339,0.5225806451612903,0.311,0.16236559139784945,1.0204301075268818,0.495,0.5053763440860215,0.483,0.9,0.515,0.145,0.2946236559139785,70.1,0.44408602150537635,1.9333333333333333,1.85,0.069,0.12150537634408602,-1.96,0.461,0.7010752688172043,0.333,0.23333333333333334,0.8204301075268817,0.539,0.44193548387096776,0.517,0.9623655913978495,0.555,0.14300000000000002,0.2913978494623656,0.652,15,202.2,76.6
0,ALABAMA-AM,0.473,0.26885245901639343,7,1,0.091,0.08852459016393442,0.6836065573770492,0.448,1.4229508196721312,0.4,0.5688524590163935,0.318,0.4524590163934426,0.627,0.2836065573770492,0.199,2,5,9,88.9,0.281,0.26229508196721313,0.537,0.3081967213114754,0.069,0.06557377049180328,0.6721311475409836,0.44,1.460655737704918,0.393,0.5737704918032787,0.374,0.5459016393442623,0.673,0.36721311475409835,0.251,0.292,0.2819672131147541,0.41147540983606556,1.6524590163934427,0.113,0.19836065573770492,0.333,0.48688524590163934,0.283,0.1377049180327869,0.9737704918032787,0.448,0.4360655737704918,0.502,0.9540983606557377,0.48,0.155,0.31475409836065577,70.1,0.4459016393442623,1.5573770491803278,-18.86,0.077,0.13442622950819672,-14.99,0.329,0.46885245901639344,0.29,0.1360655737704918,0.9540983606557377,0.454,0.43278688524590164,0.498,0.9459016393442623,0.475,0.18600000000000003,0.37540983606557377,0.4,6,200.0,77.21428571428571
0,ALABAMA-BIRMINGHAM,0.391,0.2655172413793103,4,6,0.121,0.10431034482758621,0.6482758620689655,0.493,1.5051724137931035,0.451,0.6793103448275862,0.314,0.4732758620689655,0.696,0.3293103448275862,0.219,2,15,7,105.3,0.295,0.2681034482758621,0.49,0.2672413793103448,0.083,0.09051724137931035,0.6396551724137931,0.462,1.35,0.404,0.5456896551724137,0.277,0.3741379310344828,0.694,0.25948275862068965,0.192,0.251,0.21724137931034482,0.41120689655172415,1.506896551724138,0.061,0.10517241379310345,0.363,0.49051724137931035,0.318,0.1560344827586207,0.8594827586206897,0.453,0.3896551724137931,0.483,0.8568965517241379,0.493,0.212,0.41206896551724137,68.9,0.38017241379310346,1.8146551724137931,5.8,0.11599999999999999,0.19913793103448277,-3.83,0.272,0.40948275862068967,0.309,0.1267241379310345,1.0956896551724138,0.504,0.5525862068965517,0.517,0.9163793103448276,0.524,0.132,0.2620689655172414,0.759,22,198.78571428571428,76.78571428571429
0,ALABAMA-STATE,0.457,0.24305555555555555,8,1,0.061,0.059722222222222225,0.6222222222222222,0.435,1.4013888888888888,0.38,0.5319444444444444,0.427,0.5986111111111111,0.647,0.3875,0.277,6,3,14,88.8,0.295,0.2847222222222222,0.498,0.31527777777777777,0.114,0.10416666666666667,0.6791666666666667,0.489,1.4472222222222222,0.438,0.6333333333333333,0.369,0.5347222222222222,0.696,0.37222222222222223,0.257,0.29600000000000004,0.2611111111111111,0.5388888888888889,1.788888888888889,0.107,0.19305555555555556,0.319,0.46111111111111114,0.325,0.15,0.9861111111111112,0.49,0.48333333333333334,0.509,0.9402777777777778,0.526,0.18,0.37222222222222223,72.4,0.47638888888888886,1.6055555555555556,-24.28,0.084,0.1527777777777778,-16.95,0.347,0.4861111111111111,0.317,0.15416666666666667,0.9152777777777777,0.413,0.37777777777777777,0.491,0.9069444444444444,0.476,0.193,0.4041666666666667,0.222,4,191.66666666666666,75.5
0,ALABAMA,0.502,0.350188679245283,3,7,0.106,0.1079245283018868,0.7056603773584905,0.517,1.6037735849056605,0.435,0.6973584905660377,0.288,0.4618867924528302,0.708,0.3267924528301887,0.204,1,12,7,106.3,0.318,0.30792452830188677,0.44,0.27773584905660376,0.142,0.12150943396226416,0.6611320754716982,0.458,1.5494339622641509,0.408,0.6316981132075472,0.307,0.47547169811320755,0.689,0.32754716981132076,0.211,0.28800000000000003,0.2852830188679245,0.4520754716981132,1.7456603773584907,0.106,0.1969811320754717,0.343,0.5313207547169811,0.291,0.15471698113207547,1.0181132075471697,0.468,0.4769811320754717,0.483,0.9464150943396227,0.492,0.177,0.3818867924528302,74.7,0.4550943396226415,1.9841509433962263,19.58,0.113,0.21132075471698114,10.01,0.465,0.7464150943396226,0.352,0.26264150943396225,0.8573584905660377,0.507,0.43471698113207546,0.517,1.0135849056603774,0.544,0.159,0.3456603773584906,0.788,26,197.0,77.5
0,ALBANY-NY,0.473,0.2921875,4,2,0.051,0.0453125,0.578125,0.505,1.3796875,0.447,0.6171875,0.341,0.4703125,0.724,0.340625,0.247,5,4,9,99.6,0.223,0.171875,0.488,0.30625,0.11,0.1,0.5984375,0.513,1.396875,0.45,0.628125,0.293,0.409375,0.691,0.2828125,0.202,0.273,0.2171875,0.4609375,1.7171875,0.081,0.140625,0.369,0.515625,0.345,0.178125,0.88125,0.511,0.45,0.521,0.815625,0.54,0.18600000000000003,0.3640625,69.7,0.4453125,1.734375,-4.53,0.08800000000000001,0.153125,-5.22,0.343,0.4734375,0.337,0.159375,0.90625,0.505,0.4578125,0.479,0.75,0.541,0.16399999999999998,0.3140625,0.438,7,202.14285714285714,76.92857142857143
0,ALCORN-STATE,0.40700000000000003,0.23289473684210527,9,2,0.05,0.039473684210526314,0.5289473684210526,0.444,1.456578947368421,0.393,0.5723684210526315,0.34,0.49473684210526314,0.726,0.3592105263157895,0.247,3,4,13,92.8,0.297,0.2710526315789474,0.58,0.3684210526315789,0.10800000000000001,0.10394736842105264,0.6421052631578947,0.554,1.305263157894737,0.487,0.6355263157894737,0.501,0.6539473684210526,0.678,0.44342105263157894,0.34,0.303,0.23026315789473684,0.44473684210526315,1.8907894736842106,0.095,0.16842105263157894,0.39,0.5092105263157894,0.346,0.1763157894736842,0.7960526315789473,0.577,0.45921052631578946,0.522,0.8723684210526316,0.585,0.196,0.39342105263157895,71.3,0.5184210526315789,1.6526315789473685,-19.58,0.106,0.18947368421052632,-10.06,0.34,0.49473684210526314,0.301,0.14868421052631578,0.9618421052631579,0.44,0.4236842105263158,0.478,0.8,0.488,0.177,0.3631578947368421,0.316,6,185.625,74.9375
0,AMERICAN,0.516,0.3047619047619048,4,2,0.114,0.11190476190476191,0.5904761904761905,0.526,1.3261904761904761,0.445,0.5904761904761905,0.268,0.3547619047619048,0.705,0.25,0.189,2,2,6,97.5,0.24100000000000002,0.18571428571428572,0.43700000000000006,0.2785714285714286,0.078,0.05952380952380952,0.5833333333333334,0.502,1.3904761904761904,0.459,0.638095238095238,0.384,0.5333333333333333,0.67,0.35714285714285715,0.257,0.299,0.2523809523809524,0.37142857142857144,1.7523809523809524,0.12,0.20238095238095238,0.295,0.4095238095238095,0.291,0.11904761904761904,0.9809523809523809,0.529,0.5190476190476191,0.518,0.8357142857142857,0.533,0.153,0.2976190476190476,67.5,0.4595238095238095,1.6452380952380952,-6.32,0.10300000000000001,0.1738095238095238,-1.82,0.427,0.5666666666666667,0.378,0.21428571428571427,0.7595238095238095,0.495,0.3761904761904762,0.48200000000000004,0.7761904761904762,0.55,0.201,0.3761904761904762,0.4,4,206.66666666666666,77.33333333333333
