,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,abbreviation
0,0.585,0.36640625,9,3,0.046,0.03359375,0.62734375,0.534,1.37421875,0.456,0.6265625,0.357,0.490625,0.731,0.35859375,0.261,7,8,20,106.0,0.22699999999999998,0.18515625,0.551,0.3609375,0.086,0.06875,0.63125,0.555,1.41328125,0.464,0.65546875,0.293,0.4140625,0.711,0.29453125,0.208,0.22399999999999998,0.18125,0.47265625,1.8640625,0.091,0.15625,0.488,0.68984375,0.375,0.25859375,0.7234375,0.549,0.396875,0.5,0.8125,0.579,0.151,0.2859375,68.9,0.4171875,1.8265625,-0.37,0.073,0.12578125,3.02,0.417,0.5734375,0.375,0.21484375,0.80078125,0.514,0.41171875,0.5,0.8125,0.568,0.161,0.30859375,0.375,12,68.8,107.8,52.9,18.1,22.5,35.0,110.3,56.2,16.4,22.8,29.8,77.1,-0.6,-1.3,0.2,-0.1,1.1,1.5,2.05,28.5,86.0,AIR-FORCE
0,0.514,0.32661290322580644,4,8,0.073,0.07338709677419354,0.6991935483870968,0.521,1.4427419354838709,0.44,0.635483870967742,0.351,0.5064516129032258,0.772,0.3911290322580645,0.271,2,15,7,107.2,0.27899999999999997,0.2435483870967742,0.42200000000000004,0.2564516129032258,0.086,0.06854838709677419,0.6306451612903226,0.451,1.520967741935484,0.4,0.6080645161290322,0.286,0.43548387096774194,0.669,0.2911290322580645,0.191,0.29100000000000004,0.2862903225806452,0.49838709677419357,1.6629032258064516,0.085,0.15080645161290324,0.337,0.5129032258064516,0.303,0.15564516129032258,1.0080645161290323,0.449,0.45241935483870965,0.493,0.9169354838709678,0.481,0.161,0.33064516129032256,70.6,0.44193548387096776,1.8935483870967742,7.15,0.07200000000000001,0.12741935483870967,-0.4,0.444,0.6411290322580645,0.361,0.2314516129032258,0.8016129032258065,0.504,0.40403225806451615,0.507,0.942741935483871,0.562,0.16,0.32016129032258067,0.774,24,69.4,108.5,51.7,17.9,27.4,35.5,98.9,45.9,18.4,29.2,29.1,76.5,1.0,0.5,1.4,0.4,0.2,-4.0,1.61,23.9,53.1,AKRON
0,0.43200000000000005,0.26328125,7,5,0.087,0.07265625,0.6703125,0.503,1.34296875,0.454,0.609375,0.351,0.471875,0.704,0.33203125,0.247,6,11,13,100.2,0.317,0.25625,0.47200000000000003,0.27578125,0.085,0.0796875,0.5515625,0.483,1.409375,0.415,0.584375,0.267,0.37578125,0.717,0.26953125,0.191,0.243,0.21484375,0.43359375,1.63125,0.10099999999999999,0.16953125,0.409,0.5765625,0.335,0.19296875,0.8328125,0.47,0.39140625,0.45299999999999996,0.76640625,0.514,0.162,0.30625,67.2,0.41171875,1.6828125,-0.94,0.08900000000000001,0.14921875,-1.64,0.3,0.40234375,0.328,0.13203125,0.940625,0.507,0.47734375,0.547,0.9265625,0.537,0.19,0.36796875,0.594,19,65.7,100.8,49.7,22.2,31.8,35.1,102.1,49.3,18.3,24.3,27.0,77.0,0.9,1.0,0.8,0.1,0.1,-1.4,0.83,32.6,39.9,ALABAMA-BIRMINGHAM
0,0.47600000000000003,0.25390625,16,2,0.06,0.0546875,0.575,0.446,1.37734375,0.387,0.53359375,0.357,0.49140625,0.622,0.30546875,0.222,5,4,24,86.7,0.257,0.23046875,0.502,0.31875,0.107,0.08984375,0.66484375,0.513,1.39140625,0.456,0.634375,0.383,0.53359375,0.654,0.34921875,0.251,0.29600000000000004,0.24140625,0.4875,1.77578125,0.105,0.1859375,0.344,0.47890625,0.33,0.1578125,0.9125,0.522,0.4765625,0.529,0.90625,0.54,0.179,0.35859375,70.8,0.4984375,1.53515625,-16.15,0.08800000000000001,0.15625,-6.53,0.39,0.53671875,0.303,0.1625,0.840625,0.441,0.37109375,0.47100000000000003,0.80546875,0.477,0.19899999999999998,0.4,0.25,8,69.7,86.2,44.6,22.6,26.0,35.7,103.4,51.3,20.4,29.8,38.3,75.5,-1.8,-1.9,-1.8,-0.0,-0.9,-2.1,1.22,38.1,48.5,ALABAMA-STATE
0,0.516,0.35,8,4,0.10400000000000001,0.10793650793650794,0.6817460317460318,0.522,1.5523809523809524,0.437,0.6777777777777778,0.369,0.5722222222222222,0.693,0.3968253968253968,0.256,5,10,15,106.0,0.298,0.2865079365079365,0.434,0.29285714285714287,0.124,0.09841269841269841,0.6753968253968254,0.479,1.5888888888888888,0.425,0.6746031746031746,0.359,0.5698412698412698,0.741,0.4222222222222222,0.266,0.308,0.30317460317460315,0.4992063492063492,1.9436507936507936,0.11,0.20873015873015874,0.347,0.5515873015873016,0.312,0.17222222222222222,1.0373015873015874,0.484,0.5023809523809524,0.503,0.9785714285714285,0.523,0.157,0.34523809523809523,76.1,0.4936507936507937,2.0174603174603174,11.12,0.08199999999999999,0.15555555555555556,8.12,0.489,0.7595238095238095,0.349,0.2650793650793651,0.7928571428571428,0.521,0.4126984126984127,0.49700000000000005,0.9682539682539683,0.553,0.16699999999999998,0.36587301587301585,0.516,16,74.8,111.0,52.2,19.2,29.9,36.8,99.5,47.9,18.2,30.8,35.9,77.1,0.2,-0.0,0.5,-0.3,0.1,1.0,1.55,28.7,52.0,ALABAMA
0,0.515,0.3338842975206612,13,4,0.084,0.08099173553719008,0.6495867768595042,0.5,1.5173553719008264,0.427,0.6479338842975206,0.304,0.46115702479338844,0.744,0.34297520661157027,0.226,2,11,15,102.5,0.302,0.2727272727272727,0.528,0.34710743801652894,0.081,0.07355371900826446,0.6297520661157024,0.506,1.462809917355372,0.449,0.6570247933884298,0.357,0.5223140495867769,0.642,0.33553719008264465,0.229,0.27399999999999997,0.24462809917355371,0.4206611570247934,1.8148760330578513,0.10099999999999999,0.1834710743801653,0.342,0.5008264462809917,0.33,0.1652892561983471,0.9619834710743802,0.511,0.49173553719008267,0.48700000000000004,0.8743801652892562,0.53,0.166,0.3413223140495868,72.6,0.4537190082644628,1.8603305785123967,-14.64,0.109,0.1975206611570248,-9.64,0.399,0.6057851239669422,0.366,0.22148760330578512,0.9115702479338843,0.468,0.42644628099173554,0.513,0.9223140495867769,0.536,0.171,0.3578512396694215,0.5,15,70.1,96.9,47.3,20.6,27.7,31.1,111.3,51.4,18.0,28.2,37.1,76.4,-0.7,0.6,-2.0,-1.3,0.1,0.7,1.75,29.2,50.9,ALCORN-STATE
0,0.48200000000000004,0.31867219917012446,10,6,0.09300000000000001,0.08796680497925312,0.5900414937759336,0.516,1.4464730290456431,0.457,0.6605809128630705,0.286,0.4141078838174274,0.703,0.29128630705394193,0.201,4,10,14,103.4,0.265,0.22157676348547717,0.478,0.2954356846473029,0.084,0.07966804979253111,0.6157676348547718,0.497,1.3842323651452282,0.447,0.6182572614107884,0.367,0.5078838174273859,0.698,0.35435684647302906,0.256,0.294,0.24564315352697094,0.391701244813278,1.7302904564315353,0.086,0.14854771784232365,0.315,0.43651452282157677,0.319,0.13941908713692946,0.9477178423236514,0.505,0.47883817427385894,0.515,0.8614107883817428,0.532,0.17300000000000001,0.34107883817427387,69.0,0.4323651452282158,1.7834024896265561,-4.37,0.115,0.1991701244813278,-6.5,0.348,0.5029045643153527,0.34,0.17095435684647303,0.9435684647302904,0.519,0.4896265560165975,0.485,0.8116182572614108,0.543,0.157,0.3062240663900415,0.533,16,68.7,101.1,51.6,17.9,26.7,28.6,104.0,49.7,19.9,29.4,36.6,76.6,-0.6,-0.1,-1.0,-0.9,-0.6,1.4,1.99,28.1,61.3,AMERICAN
0,0.49200000000000005,0.2875471698113208,9,7,0.065,0.05584905660377359,0.6264150943396226,0.489,1.3584905660377358,0.431,0.5849056603773585,0.412,0.5592452830188679,0.667,0.3728301886792453,0.274,5,10,15,99.3,0.27699999999999997,0.24377358490566037,0.55,0.3373584905660377,0.078,0.0649056603773585,0.6369811320754717,0.495,1.4233962264150943,0.431,0.6135849056603774,0.262,0.3728301886792453,0.719,0.2679245283018868,0.188,0.28,0.24301886792452831,0.4867924528301887,1.6769811320754717,0.099,0.16981132075471697,0.396,0.5630188679245283,0.323,0.18188679245283018,0.8603773584905661,0.502,0.4316981132075472,0.503,0.88,0.524,0.183,0.35924528301886793,68.6,0.3879245283018868,1.7026415094339622,-0.81,0.10800000000000001,0.18566037735849056,-0.01,0.388,0.5275471698113208,0.303,0.16,0.8309433962264151,0.511,0.4249056603773585,0.49700000000000005,0.870188679245283,0.524,0.17,0.3320754716981132,0.545,18,67.2,99.9,48.4,19.5,26.9,41.2,100.2,49.8,20.3,27.7,27.3,76.8,0.7,-0.0,1.4,-0.1,-0.5,-1.1,2.05,25.9,61.6,APPALACHIAN-STATE
0,0.423,0.2782258064516129,5,6,0.094,0.08387096774193549,0.6475806451612903,0.488,1.5354838709677419,0.429,0.6580645161290323,0.324,0.4975806451612903,0.695,0.34596774193548385,0.225,3,13,11,100.1,0.265,0.25161290322580643,0.505,0.31290322580645163,0.099,0.09596774193548387,0.6967741935483871,0.491,1.4483870967741936,0.428,0.6201612903225806,0.342,0.4959677419354839,0.681,0.3379032258064516,0.233,0.284,0.2564516129032258,0.4588709677419355,1.761290322580645,0.08900000000000001,0.16370967741935483,0.382,0.5532258064516129,0.331,0.18306451612903227,0.8951612903225806,0.488,0.43709677419354837,0.515,0.9532258064516129,0.523,0.196,0.4096774193548387,73.7,0.4653225806451613,1.8451612903225807,11.46,0.109,0.20080645161290323,8.1,0.369,0.5669354838709677,0.323,0.18306451612903227,0.9685483870967742,0.49,0.475,0.485,0.8991935483870968,0.521,0.157,0.32903225806451614,0.645,20,73.2,106.0,48.8,17.9,26.5,32.4,94.7,49.1,22.3,28.6,34.2,77.1,0.3,-0.6,1.1,1.1,0.1,-0.3,1.87,34.0,57.2,ARIZONA-STATE
0,0.579,0.3813953488372093,6,4,0.106,0.09224806201550388,0.6581395348837209,0.507,1.4767441860465116,0.446,0.6589147286821705,0.367,0.541860465116279,0.732,0.39689922480620154,0.269,4,13,11,107.9,0.307,0.27054263565891473,0.513,0.2813953488372093,0.08,0.07674418604651163,0.610077519379845,0.453,1.3930232558139535,0.394,0.5488372093023256,0.352,0.48992248062015503,0.733,0.35891472868217056,0.258,0.259,0.22945736434108527,0.475968992248062,1.62015503875969,0.068,0.12015503875968993,0.377,0.5248062015503876,0.312,0.1635658914728682,0.8682170542635659,0.444,0.38527131782945734,0.475,0.8395348837209302,0.498,0.18100000000000002,0.36046511627906974,70.3,0.45968992248062013,1.8953488372093024,19.49,0.095,0.16744186046511628,8.4,0.347,0.5124031007751938,0.352,0.1806201550387597,0.9643410852713178,0.496,0.4782945736434108,0.525,0.9286821705426357,0.546,0.145,0.2930232558139535,0.656,21,69.3,111.0,50.7,16.7,30.7,36.7,91.4,45.3,20.6,25.9,35.2,78.3,1.9,2.1,1.8,0.9,1.3,1.4,1.36,31.0,25.1,ARIZONA
0,0.49,0.23900414937759337,18,2,0.098,0.08049792531120332,0.5585062240663901,0.435,1.2307053941908714,0.396,0.4879668049792531,0.374,0.4597510373443983,0.588,0.2705394190871369,0.22,8,2,26,79.3,0.27899999999999997,0.22157676348547717,0.568,0.3211618257261411,0.07200000000000001,0.06307053941908713,0.5726141078838174,0.49,1.308713692946058,0.432,0.5651452282157676,0.472,0.6174273858921162,0.679,0.4190871369294606,0.32,0.302,0.24149377593360996,0.4340248962655602,1.700414937759336,0.142,0.23983402489626557,0.373,0.4887966804979253,0.309,0.15103734439834024,0.8199170124481328,0.505,0.4141078838174274,0.511,0.8141078838174274,0.531,0.18,0.35269709543568467,67.6,0.5120331950207468,1.3402489626556016,-21.65,0.106,0.17925311203319502,-6.41,0.289,0.35601659751037346,0.263,0.0937759336099585,0.8746887966804979,0.451,0.3941908713692946,0.489,0.7800829875518672,0.462,0.233,0.44066390041493775,0.133,4,66.1,79.0,43.1,26.2,27.1,37.4,104.6,48.9,20.6,30.7,46.3,76.1,-0.2,-0.4,-0.1,0.0,-0.7,-2.3,0.84,38.7,36.7,ARKANSAS-PINE-BLUFF
0,0.589,0.3426356589147287,9,6,0.076,0.06589147286821706,0.5720930232558139,0.49,1.331782945736434,0.437,0.5813953488372093,0.474,0.6310077519379845,0.71,0.448062015503876,0.336,7,10,16,102.4,0.28800000000000003,0.24496124031007752,0.555,0.3387596899224806,0.057,0.05193798449612403,0.6062015503875969,0.517,1.3372093023255813,0.456,0.610077519379845,0.415,0.5550387596899224,0.725,0.40232558139534885,0.301,0.289,0.23255813953488372,0.517829457364341,1.783720930232558,0.087,0.1496124031007752,0.351,0.4689922480620155,0.344,0.16124031007751938,0.8682170542635659,0.517,0.44883720930232557,0.507,0.8387596899224806,0.557,0.179,0.34806201550387594,68.5,0.5077519379844961,1.7534883720930232,-2.92,0.1,0.17054263565891473,-0.72,0.317,0.42248062015503873,0.338,0.14263565891472868,0.9093023255813953,0.483,0.4387596899224806,0.493,0.8170542635658915,0.537,0.165,0.32170542635658916,0.5,16,67.3,104.2,48.9,19.0,28.9,48.1,107.5,52.0,19.9,29.1,43.1,76.2,-0.1,-0.5,0.3,-1.5,-1.2,-0.4,1.3,32.6,41.2,ARKANSAS-STATE
