,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,height
toumani-camara-1,8.2,72,3.1,50,1.7,,1.4,16.8,251,2,0.518,466,0.496,231,0.416,194,0.619,120,64,55,1671,0.3,8.6,127,2.1,181,15.4,603,597,1.8,56,dayton,0.206,96,0.219,21,12.7,378,0.54,18.8,129,370,0.568,210,19.4,4,0.097,80
daron-holmesii-1,7.6,7,12.6,21,5.6,,3.1,13.2,20,0.2,0.583,48,0.583,28,0.563,27,0.556,15,7,7,194,2.5,8.4,12,0.5,9,22.2,71,68,0,0,dayton,0.042,2,0,0,10.9,32,0.584,9,6,46,0.609,28,18.4,0.8,0.16,82
elijah-weaver-1,17.9,178,0.4,6,0.3,,1,9.3,155,2.2,0.513,428,0.428,183,0.278,119,0.664,79,84,34,1830,-0.7,1.1,17,0.9,115,9.9,518,534,1.6,49,dayton,0.479,205,0.356,73,5.4,172,0.535,23.9,152,223,0.493,110,17.8,3,0.067,78
malachi-smith-2,32.1,29,0.6,1,3.2,,2.7,15.5,22,0.2,0.59,39,0.564,22,0.385,15,0.867,13,7,4,182,0.4,2.3,3,0.5,14,19.2,59,68,3,9,dayton,0.154,6,0.333,2,9.1,25,0.64,25.8,16,33,0.606,20,18.2,0.7,0.15,72
koby-brea-1,6,12,1.5,5,0.7,,0.5,13.8,46,0.4,0.511,87,0.391,34,0.207,18,0.611,11,24,5,389,0.2,1.1,3,0.3,17,9.1,100,90,0.6,4,dayton,0.701,61,0.344,21,8,49,0.523,14.3,16,26,0.5,13,15.6,0.7,0.067,78
mustapha-amzil-1,7.8,27,1.3,8,2.6,,0.7,16.4,102,1,0.558,173,0.462,80,0.295,51,0.725,37,26,15,708,1.9,6.7,34,1.2,55,14.8,230,223,1.3,15,dayton,0.543,94,0.351,33,12.1,136,0.583,16.5,39,79,0.595,47,18.3,2.2,0.123,82
kobe-elvis-1,16.6,43,0.5,2,-0.8,,1.1,8.4,37,0.5,0.492,131,0.427,56,0.115,15,0.6,9,25,7,504,-1.8,1.8,8,0,29,9,138,139,2.1,18,dayton,0.351,46,0.37,17,5.2,45,0.5,24.6,45,85,0.459,39,18.1,0.4,0.034,74
rj-blakney-1,7,13,1.5,5,2.8,,1.6,11.9,38,0.5,0.576,85,0.494,42,0.282,24,0.75,18,24,10,372,1.3,7.5,20,0.7,44,14.5,116,112,1.8,11,dayton,0.482,41,0.341,14,9.9,58,0.602,16.5,19,44,0.636,28,16.9,1.2,0.125,78
moulaye-sissoko-1,2.9,3,0.6,1,-4.1,,-0.8,23.2,38,0.3,0.455,33,0.455,15,0.333,11,0.818,9,21,0,187,-3.3,12.6,17,0.1,24,8.8,39,44,0,0,dayton,0,0,,0,18.6,55,0.51,23.9,12,33,0.455,15,14.7,0.3,0.071,81
lynn-greeriii-1,23.2,5,2.7,1,-2,,-0.9,5.9,2,0,0.417,12,0.417,5,0.333,4,1,4,5,0,43,-1.1,0,0,0.1,3,14.3,14,15,1.4,1,dayton,0,0,,0,3.1,2,0.504,12.6,2,12,0.417,5,19.8,0.1,0.107,74
zimi-nwokeji-1,6.3,14,0.5,2,-0.3,,-0.1,10.2,41,0.5,0.51,96,0.448,43,0.448,43,0.744,32,23,2,445,-0.2,4.1,13,0.5,38,10.4,130,125,0.7,5,dayton,0.396,38,0.316,12,7.5,54,0.558,16.5,23,58,0.534,31,17.3,1,0.088,79
richard-amaefule-1,4.6,4,2.6,3,-3.9,,1.4,22.9,31,0.3,0.455,22,0.455,10,0.636,14,0.571,8,19,0,157,-5.2,11.3,15,0.1,23,10.9,28,34,2.3,6,east-tennessee-state,0,0,,0,17.1,46,0.489,25.9,10,22,0.455,10,12.6,0.4,0.094,81
drew-swerlein-1,0,0,0,0,-12.7,,-2,21.9,1,0,0,1,0,0,0,0,,0,4,0,5,-10.7,0,0,0,0,-6.1,0,0,0,0,dayton,1,1,0,0,12.1,1,0,0,0,0,,0,10.5,0,-0.081,72
christian-wilson-2,12.6,4,0,0,2.1,,3.4,9.8,5,0.1,0.55,10,0.4,4,0,0,,0,23,1,56,-1.3,0,0,0.1,8,8.9,11,10,2.1,2,dayton,0.8,8,0.375,3,5.4,5,0.55,9.1,1,2,0.5,1,10.5,0.1,0.102,73
myles-carter-2,9,63,0.9,13,-5.2,,-3.6,10,147,0.9,0.473,628,0.424,266,0.256,161,0.801,129,97,23,1567,-1.6,5.8,92,1.7,193,14.4,723,681,1.9,57,delaware-state,0.29,182,0.341,62,7.9,239,0.513,14.7,121,446,0.457,204,24.4,2.6,0.066,73
dominik-fragala-1,10.9,43,0.1,1,-4.6,,-3.8,6.5,51,0.5,,320,0.388,124,0.253,81,0.802,65,54,7,818,-0.9,2.4,19,1.5,63,15,378,346,1.9,29,delaware-state,0.631,202,0.322,65,4.4,70,,9.8,39,118,0.5,59,22.7,2,0.096,72
corey-perkins-1,27.1,29,0,0,-13.4,,-5.3,10.4,21,0.5,0.417,48,0.375,18,0.313,15,0.533,8,6,6,183,-8.1,1.6,3,-0.1,6,12.3,48,57,4.5,15,delaware-state,0.271,13,0.308,4,6.2,24,0.435,24.6,18,35,0.4,14,18.7,0.4,0.091,74
fahim-jenneto-1,5.1,21,1.6,12,-8.3,,-3.2,14,107,0.5,0.47,237,0.384,91,0.219,52,0.731,38,39,30,837,-5.1,4,34,0.1,119,8,261,243,0.8,12,delaware-state,0.523,124,0.331,41,8.7,141,0.499,18.1,58,113,0.442,50,17.7,0.6,0.031,79
khyrie-staten-1,5.7,2,1.6,1,-13.9,,-8.6,8.7,7,0.2,0.456,34,0.441,15,0.324,11,0.545,6,6,0,73,-5.3,4.1,3,0,1,18,37,33,4.5,6,delaware-state,0.353,12,0.083,1,6.5,10,0.472,11.3,5,22,0.636,14,28.3,0.2,0.121,73
dmarco-baucum-1,6.7,27,2.2,17,-8.7,,-3.9,10,79,0.6,,236,0.377,89,0.267,63,0.746,47,43,28,839,-4.8,7.1,62,-0.1,85,8.8,240,243,1.1,17,delaware-state,0.284,67,0.224,15,8.5,141,,17.7,57,169,0.438,74,18,0.5,0.023,78
chris-sodom-1,1.5,3,11,35,-8.1,,-1.2,21.1,71,0.6,0.518,56,0.518,29,0.607,34,0.412,14,38,6,349,-6.9,12.2,42,-0.1,63,10.9,72,83,0.6,4,delaware-state,0,0,,0,16.5,113,0.499,30.7,32,56,0.518,29,13.8,0.4,0.05,87
christopher-smith-1,3.4,3,7,10,-11.2,,-2,18.8,30,0.3,0.514,35,0.514,18,0.343,12,0.25,3,18,0,157,-9.2,5.1,8,-0.2,19,8.5,39,37,1.7,5,delaware-state,0,0,,0,11.9,38,0.479,29.5,17,35,0.514,18,16.9,0.1,0.018,80
avery-richardson-1,25.6,8,0,0,-11.4,,-4.2,10.3,6,0.1,0.462,13,0.385,5,0.154,2,0.5,1,6,0,53,-7.1,1.9,1,0.1,3,17.2,13,15,4.1,4,delaware-state,0.615,8,0.25,2,6.3,7,0.466,0,0,5,0.6,3,12.3,0.3,0.19,69
ricky-deadwyleriii-1,8.3,1,0,0,1.8,,-6.6,20.7,5,0.1,0.45,10,0.3,3,0,0,,0,3,0,22,8.4,0,0,0,4,7.4,9,8,0,0,delaware-state,0.9,9,0.333,3,10.8,5,0.45,9.1,1,1,0,0,23.4,0.1,0.103,76
israel-palmer-1,10.6,4,0,0,-12.4,,-6,4.7,3,0.1,0.417,6,0.333,2,0.667,4,0.75,3,5,0,58,-6.4,1.7,1,0,4,4.8,8,9,1.9,2,delaware-state,0.5,3,0.333,1,3.3,4,0.506,33.6,4,3,0.333,1,9.6,0.1,0.06,76
shaft-clark-1,3.2,3,2.9,5,-7.8,,-3.1,15.1,25,0.1,0.408,49,0.367,18,0.286,14,0.429,6,14,0,182,-4.7,8.3,15,-0.1,25,7.9,46,48,1.7,6,delaware-state,0.286,14,0.286,4,11.5,40,0.413,16.5,11,35,0.4,14,16.7,0,-0.004,76
zach-kent-1,6.7,12,5.2,20,-5.3,,-2.9,17.9,65,0.2,0.48,153,0.418,64,0.248,38,0.684,26,21,13,400,-2.4,2.5,10,0.2,41,12.8,173,153,0.5,4,delaware-state,0.405,62,0.306,19,9.9,75,0.506,14.9,30,91,0.495,45,23.1,0.3,0.035,82
ronald-lucas-1,3.2,15,2.7,22,-10.9,,-2.1,12.4,101,0.5,0.468,156,0.449,70,0.378,59,0.644,38,80,15,912,-8.8,4.9,46,-0.3,203,4.9,184,183,1.2,21,delaware-state,0.109,17,0.353,6,8.4,147,0.5,25.5,63,139,0.46,64,12.6,0.2,0.011,78
omari-peek-green-1,5.5,24,1.9,15,-6.2,,-3.6,14.4,111,0.4,0.502,266,0.41,109,0.214,57,0.667,38,46,28,865,-2.6,4,34,0.4,86,11.3,305,283,1.6,27,delaware-state,0.511,136,0.36,49,8.9,145,0.52,17.7,63,130,0.462,60,18.9,0.8,0.038,78
martez-robinson-1,24.8,27,0,0,-6.6,,-3.8,11,21,0,0.457,47,0.404,19,0.404,19,0.737,14,8,4,209,-2.9,5.3,11,0.1,21,10.5,57,68,1.7,7,delaware-state,0.213,10,0.5,5,8,32,0.509,27.3,21,37,0.378,14,16.8,0.1,0.024,74
john-stansbury-1,11.6,41,0.8,5,-3,,-1.8,14.3,89,0.4,0.577,168,0.512,86,0.476,80,0.713,57,29,26,697,-1.2,4.2,29,1,72,15.5,251,245,2.8,38,delaware-state,0.381,64,0.344,22,9,118,0.609,21.4,56,104,0.615,64,17.2,1.5,0.085,75
dylan-painter-1,11.2,66,3.4,39,1.9,,-0.5,23.1,257,1.8,0.569,335,0.561,188,0.699,234,0.726,170,69,40,1277,2.5,12.8,128,4,119,23,551,578,0.9,19,delaware,0.042,14,0.357,5,18.3,385,0.618,18,98,321,0.57,183,22.2,5.8,0.182,82
ryan-allen-3,11.9,222,0.7,22,-2.3,,-2.3,7.1,230,1.8,0.506,1293,0.404,523,0.268,346,0.723,250,108,98,3787,0,0.9,27,5.6,265,13.5,1558,1433,1.1,72,delaware,0.568,735,0.356,262,4.1,257,0.535,12,199,558,0.468,261,23.1,7.4,0.078,74
kevin-anderson-6,19.3,314,1.4,40,-1.5,,-0.8,11.6,315,2.8,0.509,860,0.436,375,0.302,260,0.758,197,92,87,3158,-0.7,2.2,55,4.1,257,14.6,1073,1122,2.2,115,delaware,0.415,357,0.353,126,7.1,370,0.546,19.2,233,503,0.495,249,20.5,7,0.088,77
jameer-nelsonjr-1,15.3,98,1.2,16,-2.2,,0.1,13.5,160,1.6,0.459,422,0.415,175,0.327,138,0.652,90,46,41,1411,-2.3,2.9,33,-0.1,105,12.6,477,478,3.3,79,delaware,0.332,140,0.264,37,8.3,193,0.489,21.1,130,282,0.489,138,23.3,1.4,0.041,73
andrew-carr-2,13,38,3.6,20,0.5,,-0.3,11.1,57,0.6,0.523,150,0.487,73,0.34,51,0.843,43,23,18,608,0.8,6.8,32,1.1,51,15.6,200,207,1.3,13,delaware,0.26,39,0.282,11,9,89,0.574,18.3,39,111,0.559,62,18.2,1.7,0.112,81
gianmarco-arletti-1,12.2,19,0.7,2,-4.6,,-1.4,10.7,28,0.3,0.474,78,0.41,32,0.256,20,0.8,16,23,4,314,-3.2,3.2,8,0,28,8.2,90,90,1.5,8,delaware,0.385,30,0.333,10,7.1,36,0.514,24.9,29,48,0.458,22,19.3,0.3,0.032,78
jyare-davis-1,6,3,1.1,1,-6.7,,-4.3,16,13,0,0.459,37,0.459,17,0.243,9,0.444,4,8,0,103,-2.4,4,3,0,9,10.8,38,35,0.6,1,delaware,0.135,5,0,0,10.2,16,0.46,10.8,5,32,0.531,17,23.1,0.1,0.03,79
ebby-asamoah-1,6.8,21,2.4,13,0.2,,-0.2,12.7,65,0.6,0.64,118,0.483,57,0.364,43,0.767,33,42,5,591,0.3,3.9,18,1.4,65,15,184,168,1.4,14,delaware,0.703,83,0.446,37,8.5,83,0.665,14.2,23,35,0.571,20,14.2,2,0.136,76
logan-curtis-1,10.4,7,0.9,1,-5.3,,-1,7.7,9,0.1,0.393,42,0.286,12,0.119,5,0.4,2,23,0,135,-4.3,3.4,4,-0.1,17,6,35,34,2.5,6,delaware,0.69,29,0.31,9,5.5,13,0.394,11.9,6,13,0.231,3,18.7,0.1,0.016,75
wes-peterson-1,13.4,1,0,0,-9.9,,-6.6,0,0,0,0.333,3,0.333,1,0,0,,0,2,0,13,-3.3,10.5,1,0,1,1.7,2,3,0,0,delaware,0.333,1,0,0,5.1,1,0.333,25,1,2,0.5,1,15.8,0,-0.056,78
od-ogunbo-1,0,0,17.8,1,-23.2,,-3.3,18.8,1,0,,0,,0,,4,0.5,2,3,0,6,-19.8,43.2,2,0,2,0.3,2,3,0,0,delaware,,0,,0,30.6,3,0.526,61.2,3,0,,0,42.3,0,-0.208,80
reggie-gardner-2,0,0,0,0,-6.5,,-4.6,0,0,0,,0,,0,,0,,0,2,0,10,-1.9,0,0,0,0,0,0,0,0,0,delaware,,0,,0,0,0,,,0,0,,0,0,0,-0.02,75
davis-long-1,17.7,6,0,0,-8.1,,-3.5,8,4,0,,11,0.273,3,0,0,,0,21,0,59,-4.6,2.2,1,-0.1,1,2.8,8,11,0,0,delaware,0.545,6,0.333,2,5.2,5,,26.7,4,5,0.2,1,13.9,-0.1,-0.037,74
fred-rulloiv-1,0,0,0,0,-12.3,,-1.7,42.3,2,0,,2,0,0,0,0,,0,4,0,6,-10.6,20.5,1,-0.1,0,-13,0,1,0,0,delaware,0,0,,0,31.7,3,,33.3,1,2,0,0,26.1,0,-0.298,71
johnny-mccoy-1,8.4,40,1.3,10,-1.2,,1.4,11.4,87,0.9,0.54,101,0.465,47,0.446,45,0.622,28,47,12,865,-2.7,3.1,21,0.6,87,8.3,137,149,1.8,27,delaware,0.436,44,0.341,15,7.4,108,0.56,22.2,35,57,0.561,32,9.5,1.5,0.07,77
aleks-novakovich-1,5.4,9,0.7,2,-5.5,,-0.9,11.8,33,0.3,0.462,66,0.364,24,0.167,11,0.727,8,26,5,316,-4.6,6.4,16,0.2,40,7.6,69,72,1.1,6,delaware,0.697,46,0.283,13,9.2,49,0.484,15.4,13,20,0.55,11,13.9,0.5,0.06,81
anthony-ochefu-1,5.6,20,1.4,9,-5.6,,0,20.9,138,1.4,0.51,145,0.49,71,0.407,59,0.576,34,90,8,727,-5.5,9.6,63,0.1,113,10.2,182,191,1.3,17,delaware,0.11,16,0.375,6,15.3,201,0.526,26.1,61,129,0.504,65,16,1.5,0.082,80
kj-hunt-1,29.8,30,2.1,5,1,,-1.7,13.8,29,0.5,0.522,112,0.482,54,0.268,30,0.767,23,8,8,259,2.7,2,4,0.5,13,21,140,138,2.2,10,denver,0.214,24,0.375,9,8,33,0.554,17.1,26,88,0.511,45,31.4,1,0.147,75
jordan-johnson-5,15.8,21,0.8,2,-8.7,,-3.9,8.7,19,0.4,0.44,75,0.36,27,0.347,26,0.846,22,8,8,268,-4.8,0.9,2,0.1,17,11.2,88,89,2.4,11,denver,0.44,33,0.364,12,4.9,21,0.504,17.9,19,42,0.357,15,21.2,0.6,0.083,73
mikey-henn-1,9.2,86,0.7,12,-3.9,,-1.7,13.3,215,1.5,0.519,467,0.433,202,0.296,138,0.696,96,93,51,1875,-2.1,4.2,68,1.8,234,10.3,581,567,0.8,27,denver,0.49,229,0.354,81,8.8,283,0.545,17.2,111,238,0.508,121,17.3,3.3,0.071,80
tevin-smith-2,7.6,8,5.6,11,-4.1,,-2.1,14.5,26,0.4,0.62,46,0.565,26,0.543,25,0.6,15,8,8,220,-2,4,7,0.3,14,14.7,72,67,1.1,4,denver,0.348,16,0.313,5,9.4,33,0.622,21.7,16,30,0.7,21,18,0.6,0.117,77
payton-moore-1,14.9,108,0.9,12,-3.9,,-0.5,12.4,154,1.7,0.474,333,0.432,144,0.553,184,0.554,102,96,11,1400,-3.3,3.7,45,0.2,139,10.6,418,437,2.5,63,denver,0.357,119,0.235,28,8.1,199,0.497,22.1,119,214,0.542,116,19.2,1.9,0.055,76
touko-tainamo-1,4.3,2,3.3,3,-13.3,,-3.5,25.3,21,0.2,0.696,23,0.609,14,0.174,4,0.25,1,8,2,102,-9.8,5,4,0.1,20,13.3,33,28,1.1,2,denver,0.261,6,0.667,4,15.3,25,0.663,21.9,7,17,0.588,10,16.7,0.3,0.123,81
coban-porter-1,11.2,5,1.2,1,-4.4,,-3.3,13.2,10,0.1,0.469,32,0.344,11,0.094,3,0.667,2,5,0,93,-1,2.7,2,0,6,11,32,30,1.3,2,denver,0.781,25,0.32,8,8.1,12,0.479,10.7,4,7,0.429,3,21.5,0.2,0.081,76
taelyr-gatlin-1,11.3,121,0.8,13,-6.1,,-1.6,8.7,142,0.7,0.451,356,0.365,130,0.185,66,0.636,42,87,61,1948,-4.5,0.8,13,-0.5,166,5.7,363,379,1.6,55,denver,0.531,189,0.323,61,4.7,155,0.469,21.8,108,167,0.413,69,13,0.2,0.004,75
javonni-bickham-1,7.7,13,1.5,4,-4.5,,-0.9,11.8,31,0.2,0.492,60,0.483,29,0.983,59,0.695,41,34,3,330,-3.6,8.4,23,0.5,60,12.8,100,107,2.4,14,denver,0.033,2,0.5,1,10.1,54,0.568,20,22,58,0.483,28,17,0.7,0.081,78
tristan-green-1,6.8,34,3.6,27,-5.8,,-1.1,17.6,130,0.7,0.461,167,0.395,66,0.323,54,0.648,35,52,21,917,-4.6,4.8,37,-0.2,108,7.9,189,201,1.5,24,denver,0.485,81,0.272,22,11.1,167,0.491,24.6,63,86,0.512,44,14.2,0.5,0.02,81
pedro-lopez-sanvicente-1,0,0,11.5,3,5.5,,0.8,4.2,1,0.1,0.375,8,0.375,3,0.25,2,0,0,5,0,29,4.8,17.5,4,0,4,12.4,6,8,2,1,denver,0.125,1,0,0,10.8,5,0.335,0,0,7,0.429,3,16.5,0.1,0.084,80
drake-muller-1,6.5,8,0.5,1,-6.8,,-3.3,12,21,0,0.395,43,0.326,14,0.186,8,0.875,7,22,5,228,-3.5,3.7,7,-0.1,21,4.5,41,44,0.7,3,denver,0.442,19,0.316,6,7.7,28,0.438,19,11,24,0.333,8,12.9,-0.1,-0.01,76
felipe-motta-1,0,0,0,0,-13.9,,-3.6,0,0,0,,0,,0,,0,,0,1,0,4,-10.4,0,0,0,1,-4.1,0,0,0,0,denver,,0,,0,0,0,,,0,0,,0,0,0,0.034,79
korey-hess-1,57.2,2,0,0,23.2,,0.3,0,0,0,1.25,2,1,2,1,2,1,2,4,0,9,23,13.4,1,0.1,0,48.8,7,8,0,0,denver,0.5,1,1,1,7,1,1.186,25.3,1,1,1,1,22.3,0.1,0.472,71
james-sandersiv-1,20.1,4,2.9,1,-10.8,,-6.3,9.4,3,0,,7,0.571,4,0.429,3,0.333,1,9,0,40,-4.5,3,1,0.1,2,16.7,11,12,1.4,1,denver,0.571,4,0.5,2,6.1,4,,10.6,1,3,0.667,2,12,0.1,0.117,75
javon-freeman-1,18.3,237,0.9,23,4,,1.7,14.7,356,4.7,0.492,1094,0.444,486,0.323,353,0.731,258,86,86,2786,2.3,4.8,115,5.7,198,20.9,1334,1298,3.5,167,depaul,0.315,345,0.301,104,9.7,471,0.529,12.8,186,749,0.51,382,26.3,10.5,0.15,76
david-jones-10,10.8,19,2.8,8,5.1,,1.3,15.3,48,0.6,0.492,125,0.456,57,0.28,35,0.657,23,15,6,309,3.8,9.3,25,0.6,26,20,146,147,2.6,15,depaul,0.256,32,0.281,9,12.6,73,0.515,13.4,22,93,0.516,48,24.8,1.2,0.16,78
brandon-johnson-56,6,101,2.8,86,0.7,,-0.4,18.6,564,4,0.501,1038,0.477,495,0.419,435,0.69,300,127,122,3439,1,8.4,264,6.9,318,17.9,1341,1309,1.1,67,depaul,0.174,181,0.282,51,13.5,828,0.539,10.9,152,857,0.518,444,20.2,10.9,0.127,80
nick-ongenda-1,4.4,17,9.8,61,2.9,,3,12.7,85,1.1,0.611,157,0.611,96,0.51,80,0.6,48,50,11,712,-0.1,9.2,60,1.5,113,18.2,240,231,1,13,depaul,0,0,,0,11,145,0.615,15.9,37,157,0.611,96,15.5,2.6,0.146,83
philmon-gebrewhit-1,5.9,8,0,0,1,,-0.8,10.3,21,0.3,0.557,44,0.432,19,0.295,13,0.846,11,6,6,193,1.8,3.1,5,0.3,11,11.6,60,58,1.6,6,depaul,0.659,29,0.379,11,7.1,26,0.598,19.3,12,15,0.533,8,14.7,0.6,0.127,79
courvoisier-mccauley-1,4.1,9,0.7,2,1,,0.6,9.8,30,0.4,0.494,84,0.381,32,0.167,14,0.786,11,24,0,314,0.5,3.2,9,0.4,23,10.8,94,87,1.4,8,depaul,0.714,60,0.317,19,6.6,39,0.518,9,9,24,0.542,13,15.2,0.8,0.104,77
yor-anei-1,5.4,42,13.1,180,3.9,,3.8,14.2,213,2.8,0.554,410,0.551,226,0.539,221,0.679,150,81,56,1670,0.1,9.2,133,2.9,255,19.6,604,584,1.2,33,depaul,0.029,12,0.167,2,11.7,346,0.586,17.5,109,398,0.563,224,19.1,5.8,0.138,82
jalen-terry-1,16.6,27,0.9,2,1.8,,1.9,11.1,24,0.3,0.525,60,0.4,24,0.083,5,0.8,4,22,1,270,-0.1,0.9,2,0.3,27,11.1,67,72,2.3,10,depaul,0.65,39,0.385,15,6,26,0.537,19.4,15,21,0.429,9,15,0.6,0.095,71
tyon-grant-foster-1,4.9,5,5.1,9,-0.1,,1.8,20.7,36,0.4,0.427,75,0.4,30,0.307,23,0.565,13,23,1,194,-1.9,8.6,15,0,21,14,77,74,2.1,7,depaul,0.333,25,0.16,4,14.6,51,0.448,15.7,16,50,0.52,26,26,0.4,0.082,79
brendan-favre-1,0,0,3.3,1,-8,,-1.9,12.2,4,0,,8,0.25,2,0,0,,0,10,0,31,-6.1,3.9,1,0,3,1.5,4,4,0,0,depaul,0.5,4,0,0,8.5,5,,0,0,4,0.5,2,12,0,0.013,77
shaheed-medlock-1,0,0,0,0,-5.2,,2.8,14,3,0,,4,0.5,2,0,0,,0,14,0,21,-8,0,0,0,6,-0.2,4,3,0,0,depaul,0,0,,0,7.7,3,,20,1,4,0.5,2,12.1,0,0.015,77
max-williams-2,0,0,0,0,-9,,-2.8,0,0,0,,1,0,0,0,0,,0,6,0,12,-6.2,0,0,0,1,-4.6,0,0,0,0,depaul,0,0,,0,0,0,,0,0,1,0,0,3.8,0,-0.021,74
antoine-davis-2,27.9,368,0.1,3,1.5,,-3.1,8.4,236,0.1,0.491,1828,0.398,727,0.237,433,0.891,386,88,87,3298,4.6,1.3,38,9.4,190,22.2,2182,2085,2.1,121,detroit-mercy,0.519,949,0.36,342,4.7,274,0.536,13.8,325,879,0.438,385,35.8,9.6,0.116,73
madut-akec-1,7.3,17,1.7,7,1.4,,0.1,20.9,84,0.4,0.531,127,0.457,58,0.244,31,0.806,25,39,11,511,1.3,6.2,28,0.8,57,15.1,160,154,2,17,detroit-mercy,0.425,54,0.352,19,13.1,112,0.564,16.5,28,73,0.534,39,17.1,1.2,0.094,79
kevin-mcadoo-2,12,97,0.5,6,-2.9,,-1.6,5.4,74,0.9,0.487,484,0.401,194,0.223,108,0.75,81,82,35,1572,-1.3,1.6,22,1.5,89,11.3,552,517,1.4,37,detroit-mercy,0.529,256,0.324,83,3.5,96,0.516,15.2,96,228,0.487,111,20.6,2.5,0.063,74
matt-johnson-5,10.8,49,1.9,13,-1.9,,-1.2,13.6,97,0.4,0.504,246,0.415,102,0.102,25,0.84,21,50,11,857,-0.7,3.5,25,0.9,74,12.6,269,260,1.7,25,detroit-mercy,0.459,113,0.389,44,8.5,122,0.522,15.1,46,133,0.436,58,18.5,1.3,0.063,76
prince-oduro-1,4.9,25,2.9,31,-6.8,,-1.8,15.8,160,0.8,0.482,336,0.482,162,0.47,158,0.386,61,75,35,1200,-5,7.7,80,-0.4,155,9.7,385,369,0.7,14,detroit-mercy,0.006,2,0,0,11.8,240,0.468,18.1,91,334,0.485,162,21.4,0.3,0.011,80
willy-isiani-1,9,52,2.5,24,-1.5,,-1.5,13.6,125,0.3,0.502,275,0.375,103,0.138,38,0.711,27,68,27,1077,0.1,6.9,67,1.5,107,13.1,303,314,1.7,31,detroit-mercy,0.793,218,0.321,70,10.2,192,0.517,14.1,48,57,0.579,33,15.8,1.8,0.067,80
dj-harvey-1,5.4,43,1.5,23,-0.5,,0.2,14.3,210,1.5,0.462,516,0.384,198,0.271,140,0.729,102,75,46,1655,-0.6,3.6,54,1,132,11.7,579,521,1.4,40,detroit-mercy,0.483,249,0.325,81,8.9,264,0.497,13,87,267,0.438,117,20.8,2.5,0.061,78
jeramy-shaw-1,0,0,2.7,1,-9.7,,-4.8,6.2,2,0,0.333,3,0.333,1,1.667,5,0.4,2,5,0,41,-4.9,5.6,2,0,5,0.6,4,5,0,0,detroit-mercy,0.667,2,0,0,5.9,4,0.372,27.1,2,1,1,1,9.4,-0.1,-0.079,78
kyle-legreair-1,10.6,1,0,0,-9.2,,1.4,15.1,2,0,,1,0,0,0,0,,0,3,0,16,-10.6,7.1,1,-0.1,3,-2.6,0,1,7.5,2,detroit-mercy,0,0,,0,11.3,3,,75,3,1,0,0,13.1,-0.1,-0.15,72
noah-waterman-1,6.6,20,2.6,13,-0.6,,-2.2,14.5,71,0.2,0.671,149,0.523,78,0.309,46,0.587,27,25,19,589,1.7,4.5,22,1.5,52,17.6,227,198,0.9,9,detroit-mercy,0.604,90,0.489,44,9.5,93,0.664,14.1,28,59,0.576,34,17.9,1.7,0.113,83
buay-koka-1,1.4,3,8,29,-2.6,,1.8,16.7,59,0.5,0.581,62,0.581,36,0.452,28,0.679,19,44,10,395,-4.4,6.6,23,0.2,65,12.6,91,84,2,14,detroit-mercy,0.016,1,0,0,11.7,82,0.604,23.4,23,61,0.59,36,12.5,0.7,0.073,85
jordan-phillips-2,11.8,77,0.7,8,-3.9,,-1.1,11.8,134,1.5,0.383,367,0.33,121,0.409,150,0.767,115,64,29,1224,-2.8,4.5,52,0.4,73,10.8,396,404,1.6,35,texas-arlington,0.332,122,0.32,39,8.1,186,0.452,15.1,78,245,0.335,82,20.9,2,0.065,79
hunter-schofield-1,10.2,30,1.4,10,-2.1,,-1.9,16,106,0.7,0.529,294,0.503,148,0.286,84,0.702,59,28,20,708,-0.3,7.1,47,1.2,99,17.8,370,328,1.3,17,dixie-state,0.173,51,0.294,15,11.6,153,0.554,12.1,46,243,0.547,133,25.4,2,0.111,80
cameron-gooden-1,22.5,100,0.1,1,-1.7,,-1.2,9.6,80,0.8,0.469,277,0.412,114,0.534,148,0.757,112,28,28,894,-0.4,1.9,16,0.5,45,13.4,372,372,2.5,42,dixie-state,0.383,106,0.302,32,5.8,96,0.536,22.2,99,171,0.48,82,23.7,1.4,0.062,71
dancell-leter-1,5.2,4,2,3,-0.5,,-0.6,17,23,0.1,0.524,42,0.452,19,0.429,18,0.722,13,7,7,145,0.1,7.6,10,0.1,18,13.1,57,53,2.1,6,dixie-state,0.286,12,0.5,6,12.3,33,0.564,20.5,13,30,0.433,13,20,0.2,0.067,80
