,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,height
sasha-glushkov-1,0,0,5.1,3,-7.5,,-3.2,19.3,11,0.1,0.438,24,0.375,9,0.292,7,0.571,4,16,1,68,-4.2,24.5,15,0.2,5,23.2,25,28,1.8,2,appalachian-state,0.333,8,0.375,3,22,26,0.457,6.8,2,16,0.375,6,22.3,0.3,0.183,83
bryant-greene-1,0,0,0,0,-28.2,,-1.3,10.2,3,0.1,0.429,14,0.357,5,0.286,4,1,4,12,0,34,-27,9.8,3,0,4,12.1,16,14,1.8,1,appalachian-state,0.5,7,0.286,2,10.1,6,0.503,20.1,4,7,0.429,3,30.3,0,0.059,73
andrew-muse-1,12.3,2,0,0,-21.4,,-3.3,17.7,5,0.1,0.395,19,0.263,5,0.316,6,0.5,3,12,0,34,-18.1,10,3,0,4,16,18,17,5.2,3,appalachian-state,0.789,15,0.333,5,13.7,8,0.412,12.1,3,4,0,0,37.7,0.1,0.078,74
michael-moore-4,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,0,2,0,4,0,29.6,1,0,0,0,0,1,0,0,appalachian-state,1,1,0,0,15.4,1,0,0,0,0,,0,13.5,0,-0.044,77
dj-horne-1,15,119,0.3,4,1.7,,0,12.9,186,1.5,0.56,582,0.45,262,0.132,77,0.831,64,62,50,1665,1.8,1.1,16,2.9,116,16.3,716,649,1.9,56,arizona-state,0.519,302,0.424,128,7,202,0.579,15.3,112,280,0.479,134,22.4,4.4,0.105,73
kimani-lawrence-1,7.7,93,2,41,1.7,,1.4,13.7,281,2.9,0.498,625,0.456,285,0.344,215,0.656,141,113,60,2310,0.4,5.9,126,2.8,251,13.3,764,751,1.6,68,arizona-state,0.296,185,0.286,53,9.7,407,0.525,14.1,119,440,0.527,232,17.8,5.6,0.098,80
marreon-jackson-1,27.9,610,0.4,16,3.4,,0.4,12,488,5.5,0.513,1484,0.406,603,0.294,436,0.828,361,134,132,4262,3,2.2,83,10.5,267,19,1884,1963,2.4,182,arizona-state,0.586,869,0.365,317,7.3,571,0.557,16.6,337,615,0.465,286,23.8,15.9,0.15,73
luther-muhammad-1,11.6,108,0.3,4,3.2,,3.1,9.2,146,2.6,0.454,450,0.369,166,0.322,145,0.8,116,70,62,1821,0.1,2,31,1.7,133,11,525,511,2.3,70,arizona-state,0.511,230,0.335,77,5.7,177,0.506,14.5,88,220,0.405,89,17.3,4.3,0.095,75
jay-heath-1,13.1,104,0.3,5,0.7,,-0.3,9.1,137,1,0.504,638,0.415,265,0.199,127,0.654,83,55,49,1781,1,2.1,34,1.7,110,13.3,726,665,1.9,58,arizona-state,0.478,305,0.37,113,5.4,171,0.52,14.2,116,333,0.456,152,22.9,2.7,0.06,75
jalen-graham-1,4.9,23,8.3,69,1.9,,2.3,15.2,121,1.2,0.576,224,0.576,129,0.33,74,0.486,36,54,23,919,-0.4,8.6,74,1.1,130,15.9,294,293,1.1,18,arizona-state,0.018,4,0,0,11.8,195,0.567,17.5,55,220,0.586,129,16.8,2.3,0.101,81
alonzo-gaffney-1,9.5,13,6.4,14,-0.2,,3.3,15.4,35,0.4,0.518,56,0.482,27,0.179,10,0.4,4,24,5,258,-3.5,5.7,13,0,43,10.5,62,63,1.6,7,arizona-state,0.286,16,0.25,4,10.6,48,0.51,22.9,18,40,0.575,23,15.6,0.5,0.071,81
enoch-boakye-1,2.3,1,6.5,5,2,,-0.4,19.4,15,0.1,0.684,19,0.684,13,0.579,11,0.455,5,7,0,90,2.4,15.4,13,0.2,8,19.6,31,30,0,0,arizona-state,0,0,,0,17.3,28,0.64,19.9,6,19,0.684,13,16.8,0.3,0.121,82
marcus-bagley-1,8.3,18,1.3,5,3.2,,0.2,18,64,0.3,0.5,132,0.386,51,0.295,39,0.718,28,15,14,418,3,5.7,22,0.6,37,14.7,160,155,1.3,10,arizona-state,0.644,85,0.353,30,11.6,86,0.531,12.8,22,47,0.447,21,20.6,0.9,0.089,80
jamiya-neal-1,6.9,5,0,0,-2.3,,1,9.3,10,0.1,0.429,21,0.333,7,0.19,4,0.75,3,7,0,125,-3.3,1.7,2,-0.1,9,5.1,21,21,2.8,6,arizona-state,0.571,12,0.333,4,5.3,12,0.459,25.9,8,9,0.333,3,12.4,0,0.01,78
john-olmsted-1,6.2,4,1.1,1,-3.3,,0.5,16.2,14,0,0.333,6,0.333,2,0.667,4,0.5,2,17,0,101,-3.7,5.3,5,0,15,3.5,6,10,0,0,arizona-state,0.167,1,0,0,10.6,19,0.38,20.2,2,5,0.4,2,4.9,0.1,0.031,82
micah-burno-1,0,0,0,0,-11.4,,0.1,0,0,0,,2,0,0,0,0,,0,11,0,18,-11.5,0,0,-0.1,3,-7.6,0,0,3,1,arizona-state,0,0,,0,0,0,,33.3,1,2,0,0,8.2,0,-0.107,72
chase-courtney-1,0,0,0.9,1,-16.9,,-5.4,10.5,11,0,0.2,25,0.2,5,0.36,9,0.556,5,12,1,107,-11.5,7.5,8,-0.3,25,-4.7,15,18,0,0,san-jose-state,0,0,,0,9,19,0.256,21.5,8,25,0.2,5,17.3,-0.4,-0.132,82
cade-ronzone-1,,0,,0,,,,,0,0,,0,,0,,0,,0,1,0,0,,,0,0,0,,0,,,0,arizona-state,,0,,0,,0,,,0,0,,0,,0,,74
azuolas-tubelis-1,11.4,46,2.9,22,5.8,,1.9,19.4,148,1.6,0.552,290,0.524,152,0.493,143,0.671,96,32,26,837,3.8,10.5,75,2.1,78,21.1,416,390,1.2,18,arizona,0.176,51,0.314,16,15.2,223,0.581,16.9,73,239,0.569,136,25.3,3.6,0.173,83
christian-koloko-1,5.3,23,10.8,81,7.7,,5,18.2,138,2.1,0.553,208,0.553,115,0.519,108,0.62,67,60,25,825,2.7,14,99,2.2,124,22.5,297,298,1.9,27,arizona,0.014,3,0,0,16.2,237,0.573,10.1,29,205,0.561,115,17,4.4,0.212,85
bennedict-mathurin-1,9,39,0.6,5,6.9,,1.8,15.6,117,1.4,0.549,255,0.455,116,0.384,98,0.847,83,32,18,824,5.1,6.3,44,2.4,49,19.1,363,329,1.5,22,arizona,0.482,123,0.39,48,11,161,0.602,12.7,44,132,0.515,68,20.5,3.8,0.187,79
kerr-kriisa-1,25,51,0.3,1,5.8,,2.7,3.7,13,0.6,0.495,98,0.347,34,0.112,11,0.636,7,14,11,334,3.1,1.4,4,0.6,22,12.2,104,113,2,12,arizona,0.847,83,0.349,29,2.7,17,0.504,13.4,16,15,0.333,5,16.9,1.3,0.15,75
justin-kier-1,13,288,0.6,23,0.8,,1.3,15.6,597,5.7,0.495,1100,0.444,488,0.373,410,0.771,316,139,119,4253,-0.6,1.5,57,3.4,258,13.2,1404,1357,2.2,169,arizona,0.294,323,0.347,112,8.7,654,0.542,19.6,315,777,0.484,376,18.8,9.2,0.086,76
oumar-ballo-1,5.3,8,5.6,13,3.5,,2.7,19,44,0.7,0.618,55,0.618,34,0.927,51,0.667,34,30,0,231,0.8,15.8,29,0.6,33,21,102,106,1.4,6,arizona,0,0,,0,17.6,73,0.644,21.7,22,55,0.618,34,20.6,1.3,0.227,84
pelle-larsson-1,18.8,82,1.7,12,3.1,,2.1,12.2,82,1.1,0.562,162,0.469,76,0.426,69,0.87,60,31,18,771,1,2.1,13,0.9,78,12.8,242,252,1.5,20,arizona,0.414,67,0.448,30,7.4,95,0.621,27.5,74,95,0.484,46,18.1,2,0.103,77
dalen-terry-1,15.2,62,2.3,14,4.5,,4.1,13.6,85,1.3,0.5,122,0.434,53,0.41,50,0.64,32,32,20,677,0.4,4.7,27,0.8,77,11.9,154,173,2,24,arizona,0.418,51,0.314,16,9.3,112,0.528,19.4,35,71,0.521,37,13.1,2.1,0.125,79
kim-aikenjr-1,8.7,117,3.4,77,3.2,,1.4,24.5,526,4.9,0.512,738,0.413,305,0.262,193,0.767,148,91,66,2331,1.8,7.2,146,4.4,218,19.2,904,889,2.5,107,arizona,0.602,444,0.329,146,16,672,0.545,12.4,117,294,0.541,159,19.9,9.3,0.16,79
adama-bal-1,20.9,3,0,0,2.8,,5.3,4.3,1,0.1,0.6,5,0.4,2,0.4,2,0,0,5,0,21,-2.5,0,0,0,2,7.4,6,6,5,2,arizona,0.8,4,0.5,2,2.5,1,0.504,33.5,3,1,0,0,19.4,0.1,0.102,78
jordan-mains-1,6.7,1,5.4,1,6.3,,3.5,18.1,4,0.1,,5,0.4,2,1.2,6,0.667,4,9,0,21,2.8,17.1,3,0.1,3,23,9,10,2.5,1,arizona,0.6,3,0.333,1,17.7,7,,11.3,1,2,0.5,1,20,0.2,0.287,78
shane-nowell-1,10.1,2,3.6,1,2.6,,9.7,28.7,9,0.1,0.286,7,0.286,2,0.286,2,1,2,4,0,28,-7.1,0,0,0,3,11.5,6,6,5.7,3,arizona,0.143,1,0,0,16.5,9,0.377,20.1,2,6,0.333,2,16.1,0.1,0.181,78
